Ls TT EB_gmv TEB_gmv
124 3.175706e-15 5.256338e-16 4.113716e-16
125 3.076957e-15 5.094860e-16 3.988237e-16
126 2.982221e-15 4.939633e-16 3.867598e-16
127 2.891208e-15 4.790360e-16 3.751552e-16
128 2.803431e-15 4.646771e-16 3.639901e-16
129 2.719209e-15 4.508623e-16 3.532493e-16
130 2.638169e-15 4.375661e-16 3.429114e-16
131 2.559938e-15 4.247641e-16 3.329549e-16
132 2.484771e-15 4.124345e-16 3.233634e-16
133 2.412350e-15 4.005572e-16 3.141235e-16
134 2.342482e-15 3.891116e-16 3.052176e-16
135 2.275303e-15 3.780791e-16 2.966319e-16
136 2.210375e-15 3.674424e-16 2.883538e-16
137 2.147977e-15 3.571841e-16 2.803698e-16
138 2.087607e-15 3.472882e-16 2.726680e-16
139 2.029551e-15 3.377390e-16 2.652346e-16
140 1.973372e-15 3.285213e-16 2.580564e-16
141 1.919311e-15 3.196224e-16 2.511268e-16
142 1.867001e-15 3.110290e-16 2.444347e-16
143 1.816511e-15 3.027281e-16 2.379694e-16
144 1.767705e-15 2.947080e-16 2.317229e-16
145 1.720609e-15 2.869568e-16 2.256840e-16
146 1.674947e-15 2.794634e-16 2.198438e-16
147 1.631020e-15 2.722184e-16 2.141975e-16
148 1.588351e-15 2.652118e-16 2.087366e-16
149 1.547180e-15 2.584338e-16 2.034525e-16
150 1.507370e-15 2.518753e-16 1.983383e-16
151 1.468749e-15 2.455279e-16 1.933881e-16
152 1.431462e-15 2.393838e-16 1.885961e-16
153 1.395313e-15 2.334351e-16 1.839562e-16
154 1.360369e-15 2.276739e-16 1.794616e-16
155 1.326465e-15 2.220930e-16 1.751063e-16
156 1.293574e-15 2.166859e-16 1.708859e-16
157 1.261788e-15 2.114465e-16 1.667962e-16
158 1.230958e-15 2.063683e-16 1.628322e-16
159 1.201109e-15 2.014448e-16 1.589882e-16
160 1.172095e-15 1.966706e-16 1.552596e-16
161 1.144016e-15 1.920405e-16 1.516430e-16
162 1.116825e-15 1.875491e-16 1.481344e-16
163 1.090306e-15 1.831913e-16 1.447298e-16
164 1.064734e-15 1.789626e-16 1.414257e-16
165 1.039884e-15 1.748582e-16 1.382183e-16
166 1.015710e-15 1.708736e-16 1.351036e-16
167 9.923943e-16 1.670045e-16 1.320789e-16
168 9.695709e-16 1.632473e-16 1.291415e-16
