Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
40 2.825304e-13 3.375648e-13 5.743610e-13 2.575806e-13 5.586936e-14 9.745874e-14 4.591120e-14 3.547788e-14 2.922641e-14 2.836450e-14
41 2.560400e-13 3.062341e-13 5.204873e-13 2.336011e-13 5.062433e-14 8.836766e-14 4.160746e-14 3.215479e-14 2.651763e-14 2.573575e-14
42 2.325872e-13 2.784826e-13 4.727939e-13 2.123643e-13 4.598122e-14 8.031694e-14 3.779733e-14 2.921289e-14 2.411677e-14 2.340581e-14
43 2.117630e-13 2.538296e-13 4.304488e-13 1.935015e-13 4.185899e-14 7.316673e-14 3.441435e-14 2.660068e-14 2.198217e-14 2.133427e-14
44 1.932214e-13 2.318679e-13 3.927478e-13 1.767007e-13 3.818903e-14 6.679864e-14 3.140228e-14 2.427459e-14 2.007960e-14 1.948788e-14
45 1.766683e-13 2.122515e-13 3.590925e-13 1.616965e-13 3.491306e-14 6.111205e-14 2.871336e-14 2.219810e-14 1.837900e-14 1.783751e-14
46 1.618430e-13 1.946855e-13 3.289726e-13 1.482628e-13 3.198138e-14 5.602115e-14 2.630681e-14 2.033945e-14 1.685550e-14 1.635899e-14
47 1.485521e-13 1.789172e-13 3.019514e-13 1.362060e-13 2.935145e-14 5.145247e-14 2.414777e-14 1.867187e-14 1.548709e-14 1.503099e-14
48 1.365917e-13 1.647295e-13 2.776539e-13 1.253596e-13 2.698674e-14 4.734291e-14 2.220629e-14 1.717235e-14 1.425544e-14 1.383570e-14
49 1.258205e-13 1.519355e-13 2.557568e-13 1.155805e-13 2.485578e-14 4.363809e-14 2.045656e-14 1.582077e-14 1.314423e-14 1.275728e-14
50 1.160854e-13 1.403735e-13 2.359811e-13 1.067446e-13 2.293135e-14 4.029101e-14 1.887627e-14 1.460001e-14 1.213976e-14 1.178246e-14
51 1.072758e-13 1.299034e-13 2.180846e-13 9.874462e-14 2.118990e-14 3.726092e-14 1.744609e-14 1.349516e-14 1.122979e-14 1.089934e-14
52 9.929262e-14 1.204033e-13 2.018568e-13 9.148713e-14 1.961093e-14 3.451239e-14 1.614922e-14 1.249323e-14 1.040396e-14 1.009789e-14
53 9.203472e-14 1.117668e-13 1.871143e-13 8.489070e-14 1.817656e-14 3.201452e-14 1.497101e-14 1.158293e-14 9.652982e-15 9.369061e-15
54 8.542932e-14 1.039011e-13 1.736969e-13 7.888416e-14 1.687119e-14 2.974034e-14 1.389864e-14 1.075439e-14 8.968944e-15 8.705202e-15
55 7.940746e-14 9.672483e-14 1.614639e-13 7.340512e-14 1.568113e-14 2.766659e-14 1.292091e-14 9.998991e-15 8.344705e-15 8.099376e-15
56 7.391070e-14 9.016630e-14 1.502920e-13 6.839876e-14 1.459437e-14 2.577223e-14 1.202794e-14 9.309061e-15 7.774176e-15 7.545673e-15
57 6.888367e-14 8.416254e-14 1.400725e-13 6.381681e-14 1.360031e-14 2.403877e-14 1.121107e-14 8.677866e-15 7.251819e-15 7.038720e-15
58 6.427863e-14 7.865792e-14 1.307096e-13 5.961667e-14 1.268964e-14 2.245002e-14 1.046263e-14 8.099534e-15 6.772892e-15 6.573914e-15
59 6.005287e-14 7.360322e-14 1.221184e-13 5.576064e-14 1.185408e-14 2.099163e-14 9.775847e-15 7.568794e-15 6.333065e-15 6.147054e-15
60 5.616967e-14 6.895480e-14 1.142237e-13 5.221530e-14 1.108632e-14 1.965094e-14 9.144721e-15 7.081047e-15 5.928615e-15 5.754526e-15
61 5.259517e-14 6.467389e-14 1.069589e-13 4.895098e-14 1.037986e-14 1.841667e-14 8.563916e-15 6.632174e-15 5.556126e-15 5.393016e-15
62 4.930330e-14 6.072599e-14 1.002644e-13 4.594125e-14 9.728911e-15 1.727882e-14 8.028688e-15 6.218500e-15 5.212650e-15 5.059663e-15
63 4.626458e-14 5.708032e-14 9.408740e-14 4.316255e-14 9.128318e-15 1.622844e-14 7.534805e-15 5.836702e-15 4.895475e-15 4.751834e-15
64 4.345837e-14 5.370938e-14 8.838047e-14 4.059382e-14 8.573474e-15 1.525757e-14 7.078487e-15 5.483947e-15 4.602247e-15 4.467245e-15
65 4.085970e-14 5.058854e-14 8.310130e-14 3.821623e-14 8.060256e-15 1.435905e-14 6.656353e-15 5.157596e-15 4.330793e-15 4.203788e-15
66 3.845470e-14 4.769573e-14 7.821194e-14 3.601287e-14 7.584970e-15 1.352649e-14 6.265369e-15 4.855309e-15 4.079225e-15 3.959630e-15
67 3.622472e-14 4.501111e-14 7.367832e-14 3.396858e-14 7.144298e-15 1.275413e-14 5.902813e-15 4.574953e-15 3.845791e-15 3.733071e-15
68 3.415289e-14 4.251686e-14 6.946976e-14 3.206969e-14 6.735255e-15 1.203682e-14 5.566237e-15 4.314699e-15 3.628962e-15 3.522626e-15
69 3.222833e-14 4.019689e-14 6.555867e-14 3.030391e-14 6.355153e-15 1.136988e-14 5.253434e-15 4.072788e-15 3.427317e-15 3.326918e-15
70 3.043792e-14 3.803668e-14 6.192012e-14 2.866013e-14 6.001567e-15 1.074911e-14 4.962414e-15 3.847693e-15 3.239612e-15 3.144739e-15
71 2.876992e-14 3.602312e-14 5.853161e-14 2.712833e-14 5.672306e-15 1.017071e-14 4.691378e-15 3.638062e-15 3.064686e-15 2.974962e-15
72 2.721626e-14 3.414435e-14 5.537277e-14 2.569942e-14 5.365387e-15 9.631245e-15 4.438699e-15 3.442619e-15 2.901523e-15 2.816601e-15
