Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
40 1.337203e-13 1.197779e-13 1.716226e-12 9.687738e-14 1.671631e-13 3.809591e-14 6.133273e-14 3.102321e-14 2.084898e-14 2.008740e-14
41 1.212079e-13 1.087609e-13 1.554950e-12 8.793073e-14 1.514501e-13 3.456766e-14 5.563152e-14 2.814203e-14 1.894469e-14 1.825277e-14
42 1.101291e-13 9.899819e-14 1.412191e-12 8.000418e-14 1.375413e-13 3.144213e-14 5.058198e-14 2.559009e-14 1.725486e-14 1.662476e-14
43 1.002909e-13 9.032156e-14 1.285455e-12 7.296084e-14 1.251938e-13 2.866525e-14 4.609654e-14 2.332314e-14 1.575108e-14 1.517598e-14
44 9.153034e-14 8.258856e-14 1.172630e-12 6.668476e-14 1.142017e-13 2.619123e-14 4.210107e-14 2.130369e-14 1.440920e-14 1.388319e-14
45 8.370851e-14 7.567813e-14 1.071925e-12 6.107746e-14 1.043905e-13 2.398116e-14 3.853257e-14 1.949999e-14 1.320871e-14 1.272661e-14
46 7.670681e-14 6.948699e-14 9.818083e-13 5.605487e-14 9.561098e-14 2.200183e-14 3.533730e-14 1.788483e-14 1.213202e-14 1.168930e-14
47 7.042489e-14 6.392671e-14 9.009728e-13 5.154503e-14 8.773574e-14 2.022485e-14 3.246925e-14 1.643500e-14 1.116408e-14 1.075677e-14
48 6.477501e-14 5.892132e-14 8.282941e-13 4.748614e-14 8.065526e-14 1.862580e-14 2.988891e-14 1.513056e-14 1.029191e-14 9.916503e-15
49 5.968281e-14 5.440530e-14 7.628040e-13 4.382492e-14 7.427518e-14 1.718365e-14 2.756225e-14 1.395428e-14 9.504335e-15 9.157731e-15
50 5.508304e-14 5.032204e-14 7.036657e-13 4.051531e-14 6.851397e-14 1.588021e-14 2.545981e-14 1.289131e-14 8.791647e-15 8.471108e-15
51 5.091976e-14 4.662243e-14 6.501539e-13 3.751735e-14 6.330095e-14 1.469966e-14 2.355608e-14 1.192875e-14 8.145429e-15 7.848522e-15
52 4.714424e-14 4.326375e-14 6.016382e-13 3.479632e-14 5.857470e-14 1.362846e-14 2.182887e-14 1.105538e-14 7.558345e-15 7.282908e-15
53 4.371362e-14 4.020875e-14 5.575690e-13 3.232191e-14 5.428167e-14 1.265410e-14 2.025883e-14 1.026131e-14 7.023991e-15 6.768093e-15
54 4.059088e-14 3.742485e-14 5.174660e-13 3.006765e-14 5.037507e-14 1.176839e-14 1.882905e-14 9.540787e-15 6.536758e-15 6.298675e-15
55 3.775514e-14 3.488351e-14 4.809083e-13 2.801030e-14 4.681388e-14 1.096175e-14 1.752469e-14 8.882176e-15 6.091721e-15 5.869909e-15
56 3.517913e-14 3.255960e-14 4.475264e-13 2.612947e-14 4.356209e-14 1.022255e-14 1.633274e-14 8.279847e-15 5.684549e-15 5.477622e-15
57 3.280858e-14 3.043104e-14 4.169946e-13 2.440717e-14 4.058800e-14 9.545588e-15 1.524172e-14 7.728199e-15 5.311420e-15 5.118133e-15
58 3.063230e-14 2.847828e-14 3.890259e-13 2.282754e-14 3.786360e-14 8.924559e-15 1.424150e-14 7.222409e-15 4.968957e-15 4.788188e-15
59 2.863281e-14 2.668405e-14 3.633662e-13 2.137654e-14 3.536417e-14 8.354086e-15 1.332312e-14 6.757831e-15 4.654168e-15 4.484903e-15
60 2.679487e-14 2.503304e-14 3.397905e-13 2.004171e-14 3.306776e-14 7.829293e-15 1.247865e-14 6.330586e-15 4.364395e-15 4.205721e-15
61 2.510190e-14 2.351162e-14 3.180989e-13 1.881199e-14 3.095491e-14 7.345852e-15 1.170102e-14 5.937107e-15 4.097278e-15 3.948364e-15
62 2.354125e-14 2.210767e-14 2.981134e-13 1.767753e-14 2.900828e-14 6.899917e-15 1.098396e-14 5.574225e-15 3.850709e-15 3.710804e-15
63 2.209986e-14 2.081039e-14 2.796755e-13 1.662955e-14 2.721242e-14 6.488023e-15 1.032185e-14 5.239079e-15 3.622809e-15 3.491230e-15
64 2.076834e-14 1.961010e-14 2.626435e-13 1.566019e-14 2.555352e-14 6.107072e-15 9.709707e-15 4.929186e-15 3.411896e-15 3.288022e-15
65 1.953565e-14 1.849814e-14 2.468905e-13 1.476243e-14 2.401924e-14 5.754307e-15 9.143040e-15 4.642303e-15 3.216462e-15 3.099726e-15
66 1.839367e-14 1.746675e-14 2.323032e-13 1.392996e-14 2.259850e-14 5.427244e-15 8.617833e-15 4.376387e-15 3.035154e-15 2.925040e-15
67 1.733442e-14 1.650897e-14 2.187795e-13 1.315711e-14 2.128138e-14 5.123656e-15 8.130480e-15 4.129579e-15 2.866756e-15 2.762791e-15
68 1.635082e-14 1.561850e-14 2.062274e-13 1.243880e-14 2.005892e-14 4.841537e-15 7.677735e-15 3.900308e-15 2.710172e-15 2.611924e-15
69 1.543632e-14 1.478969e-14 1.945645e-13 1.177042e-14 1.892308e-14 4.579078e-15 7.256671e-15 3.687035e-15 2.564414e-15 2.471486e-15
70 1.458548e-14 1.401743e-14 1.837161e-13 1.114784e-14 1.786659e-14 4.334644e-15 6.864649e-15 3.488458e-15 2.428587e-15 2.340618e-15
