Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 4.213348e-14 3.500356e-14 5.225256e-14 1.261821e-14 4.421536e-15 7.549164e-15 3.274219e-15 2.788353e-15
50 3.888114e-14 3.236890e-14 4.819736e-14 1.165239e-14 4.078508e-15 6.972508e-15 3.021084e-15 2.573258e-15
51 3.593759e-14 2.998205e-14 4.452823e-14 1.077790e-14 3.768123e-15 6.450337e-15 2.791998e-15 2.378577e-15
52 3.326841e-14 2.781541e-14 4.120187e-14 9.984602e-15 3.486722e-15 5.976691e-15 2.584269e-15 2.202042e-15
53 3.084311e-14 2.584490e-14 3.818060e-14 9.263569e-15 3.231119e-15 5.545847e-15 2.395555e-15 2.041605e-15
54 2.863561e-14 2.404946e-14 3.543142e-14 8.607041e-15 2.998526e-15 5.154913e-15 2.223797e-15 1.895761e-15
55 2.664000e-14 2.241064e-14 3.292550e-14 8.008183e-15 2.786501e-15 4.799466e-15 2.067204e-15 1.762936e-15
56 2.483805e-14 2.091223e-14 3.063743e-14 7.461014e-15 2.592900e-15 4.473208e-15 1.924193e-15 1.641420e-15
57 2.316949e-14 1.953994e-14 2.854487e-14 6.960256e-15 2.415834e-15 4.174443e-15 1.793373e-15 1.530231e-15
58 2.163470e-14 1.828115e-14 2.662809e-14 6.501250e-15 2.253633e-15 3.900362e-15 1.673515e-15 1.428322e-15
59 2.022301e-14 1.712469e-14 2.486971e-14 6.079865e-15 2.104828e-15 3.648629e-15 1.563537e-15 1.334789e-15
60 1.892529e-14 1.606068e-14 2.325425e-14 5.692456e-15 1.968112e-15 3.417106e-15 1.462475e-15 1.248821e-15
61 1.772899e-14 1.508032e-14 2.176803e-14 5.335771e-15 1.842326e-15 3.203843e-15 1.369476e-15 1.169691e-15
62 1.662605e-14 1.417577e-14 2.039882e-14 5.006920e-15 1.726438e-15 3.007352e-15 1.283778e-15 1.096785e-15
63 1.560666e-14 1.334005e-14 1.913574e-14 4.703329e-15 1.619525e-15 2.825926e-15 1.204702e-15 1.029503e-15
64 1.466536e-14 1.256692e-14 1.796903e-14 4.422697e-15 1.520766e-15 2.658074e-15 1.131644e-15 9.673169e-16
65 1.379346e-14 1.185078e-14 1.689000e-14 4.162961e-15 1.429426e-15 2.502678e-15 1.064063e-15 9.097816e-16
66 1.298569e-14 1.118663e-14 1.589094e-14 3.922270e-15 1.344848e-15 2.358634e-15 1.001470e-15 8.564832e-16
67 1.223639e-14 1.056995e-14 1.496480e-14 3.698971e-15 1.266440e-15 2.224965e-15 9.434311e-16 8.070539e-16
68 1.154060e-14 9.996696e-15 1.410526e-14 3.491565e-15 1.193666e-15 2.100782e-15 8.895535e-16 7.611608e-16
69 1.089353e-14 9.463211e-15 1.330667e-14 3.298712e-15 1.126050e-15 1.985289e-15 8.394835e-16 7.185041e-16
70 1.029163e-14 8.966197e-15 1.256390e-14 3.119194e-15 1.063158e-15 1.877762e-15 7.929027e-16 6.788136e-16
71 9.730736e-15 8.502670e-15 1.187235e-14 2.951915e-15 1.004599e-15 1.777548e-15 7.495217e-16 6.418440e-16
72 9.207960e-15 8.069931e-15 1.122785e-14 2.795883e-15 9.500215e-16 1.684056e-15 7.090806e-16 6.073743e-16
73 8.719962e-15 7.665531e-15 1.062660e-14 2.650196e-15 8.991035e-16 1.596748e-15 6.713439e-16 5.752047e-16
74 8.263874e-15 7.287247e-15 1.006513e-14 2.514038e-15 8.515538e-16 1.515138e-15 6.360956e-16 5.451519e-16
75 7.837571e-15 6.933057e-15 9.540351e-15 2.386667e-15 8.071090e-16 1.438782e-15 6.031421e-16 5.170514e-16
76 7.438488e-15 6.601121e-15 9.049410e-15 2.267406e-15 7.655289e-16 1.367278e-15 5.723054e-16 4.907519e-16
77 7.064624e-15 6.289762e-15 8.589739e-15 2.155640e-15 7.265951e-16 1.300257e-15 5.434246e-16 4.661167e-16
78 6.714206e-15 5.997449e-15 8.158969e-15 2.050807e-15 6.901076e-16 1.237386e-15 5.163518e-16 4.430205e-16
79 6.385321e-15 5.722783e-15 7.754930e-15 1.952394e-15 6.558837e-16 1.178352e-15 4.909536e-16 4.213488e-16
80 6.076453e-15 5.464484e-15 7.375628e-15 1.859932e-15 6.237563e-16 1.122892e-15 4.671055e-16 4.009983e-16
81 5.786171e-15 5.221380e-15 7.019345e-15 1.772991e-15 5.935755e-16 1.070697e-15 4.446970e-16 3.818682e-16
