Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 8.934693e-14 9.667614e-14 1.755611e-14 3.093980e-14 1.478512e-15 1.866634e-14 1.411081e-15 1.369976e-15
50 8.243473e-14 8.930420e-14 1.619815e-14 2.855492e-14 1.363951e-15 1.722913e-14 1.301771e-15 1.263874e-15
51 7.617977e-14 8.262898e-14 1.496925e-14 2.639637e-14 1.260285e-15 1.592822e-14 1.202855e-15 1.167860e-15
52 7.051536e-14 7.657268e-14 1.385494e-14 2.443886e-14 1.166293e-15 1.474837e-14 1.113169e-15 1.080805e-15
53 6.536098e-14 7.106747e-14 1.284264e-14 2.266026e-14 1.080912e-15 1.367630e-14 1.031699e-15 1.001723e-15
54 6.066993e-14 6.605402e-14 1.192132e-14 2.104130e-14 1.003211e-15 1.270040e-14 9.575564e-16 9.297531e-16
55 5.639345e-14 6.148037e-14 1.108135e-14 1.956504e-14 9.323764e-16 1.181076e-14 8.899649e-16 8.641433e-16
56 5.249183e-14 5.730083e-14 1.031425e-14 1.821663e-14 8.676922e-16 1.099829e-14 8.282415e-16 8.042297e-16
57 4.892431e-14 5.347519e-14 9.612546e-15 1.698300e-14 8.085280e-16 1.025496e-14 7.717848e-16 7.494280e-16
58 4.565664e-14 4.996793e-14 8.969665e-15 1.585261e-14 7.543280e-16 9.573796e-15 7.200645e-16 6.992233e-16
59 4.265774e-14 4.674765e-14 8.379779e-15 1.481521e-14 7.046003e-16 8.948640e-15 6.726114e-16 6.531602e-16
60 3.990176e-14 4.378649e-14 7.837726e-15 1.386179e-14 6.589091e-16 8.374036e-15 6.290096e-16 6.108350e-16
61 3.736390e-14 4.105971e-14 7.338921e-15 1.298428e-14 6.168673e-16 7.845128e-15 5.888898e-16 5.718893e-16
62 3.502818e-14 3.854531e-14 6.879285e-15 1.217553e-14 5.781305e-16 7.357622e-15 5.519235e-16 5.360042e-16
63 3.287099e-14 3.622362e-14 6.455179e-15 1.142916e-14 5.423916e-16 6.907699e-15 5.178176e-16 5.028955e-16
64 3.087972e-14 3.407711e-14 6.063354e-15 1.073950e-14 5.093762e-16 6.491900e-15 4.863104e-16 4.723090e-16
65 2.903344e-14 3.209007e-14 5.700902e-15 1.010142e-14 4.788389e-16 6.107161e-15 4.571677e-16 4.440174e-16
66 2.732610e-14 3.024840e-14 5.365218e-15 9.510348e-15 4.505597e-16 5.750730e-15 4.301796e-16 4.178171e-16
67 2.574298e-14 2.853947e-14 5.053961e-15 8.962193e-15 4.243410e-16 5.420133e-15 4.051576e-16 3.935251e-16
68 2.427067e-14 2.695188e-14 4.765026e-15 8.453238e-15 4.000051e-16 5.113150e-15 3.819322e-16 3.709769e-16
69 2.290363e-14 2.547539e-14 4.496515e-15 7.980183e-15 3.773921e-16 4.827779e-15 3.603507e-16 3.500242e-16
70 2.163182e-14 2.410073e-14 4.246719e-15 7.540014e-15 3.563574e-16 4.562212e-15 3.402752e-16 3.305334e-16
71 2.044644e-14 2.281953e-14 4.014092e-15 7.130010e-15 3.367706e-16 4.314820e-15 3.215814e-16 3.123837e-16
72 1.934325e-14 2.162423e-14 3.797234e-15 6.747731e-15 3.185137e-16 4.084124e-15 3.041566e-16 2.954657e-16
73 1.831187e-14 2.050795e-14 3.594879e-15 6.390940e-15 3.014797e-16 3.868783e-15 2.878986e-16 2.796803e-16
