Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
56 5.239908e-14 8.235287e-16 7.997417e-16 1.582867e-16 1.268233e-16 1.535151e-16 1.243083e-16
57 4.885678e-14 7.673944e-16 7.452478e-16 1.476105e-16 1.182715e-16 1.431570e-16 1.159235e-16
58 4.560204e-14 7.159696e-16 6.953225e-16 1.378219e-16 1.104304e-16 1.336607e-16 1.082360e-16
59 4.260551e-14 6.687873e-16 6.495156e-16 1.288335e-16 1.032304e-16 1.249408e-16 1.011771e-16
60 3.987148e-14 6.254345e-16 6.074292e-16 1.205681e-16 9.660946e-17 1.169229e-16 9.468619e-17
61 3.732714e-14 5.855438e-16 5.687003e-16 1.129570e-16 9.051250e-17 1.095396e-16 8.870905e-17
62 3.500637e-14 5.487885e-16 5.330150e-16 1.059388e-16 8.489050e-17 1.027320e-16 8.319781e-17
63 3.285985e-14 5.148772e-16 5.000916e-16 9.945901e-17 7.969968e-17 9.644663e-17 7.810929e-17
64 3.086542e-14 4.835498e-16 4.696768e-16 9.346867e-17 7.490092e-17 9.063635e-17 7.340530e-17
65 2.903726e-14 4.545734e-16 4.415412e-16 8.792405e-17 7.045916e-17 8.525843e-17 6.905131e-17
66 2.732129e-14 4.277392e-16 4.154883e-16 8.278589e-17 6.634297e-17 8.027500e-17 6.501660e-17
67 2.573961e-14 4.028600e-16 3.913320e-16 7.801890e-17 6.252407e-17 7.565159e-17 6.127334e-17
68 2.427383e-14 3.797670e-16 3.689091e-16 7.359133e-17 5.897705e-17 7.135757e-17 5.779669e-17
69 2.290050e-14 3.583086e-16 3.480735e-16 6.947455e-17 5.567896e-17 6.736499e-17 5.456406e-17
70 2.164039e-14 3.383476e-16 3.286915e-16 6.564270e-17 5.260911e-17 6.364890e-17 5.155524e-17
71 2.045227e-14 3.197603e-16 3.106428e-16 6.207240e-17 4.974876e-17 6.018648e-17 4.875178e-17
72 1.935808e-14 3.024348e-16 2.938198e-16 5.874251e-17 4.708097e-17 5.695733e-17 4.613713e-17
73 1.832207e-14 2.862695e-16 2.781219e-16 5.563381e-17 4.459037e-17 5.394269e-17 4.369614e-17
74 1.735584e-14 2.711724e-16 2.634628e-16 5.272888e-17 4.226300e-17 5.112576e-17 4.141521e-17
75 1.646078e-14 2.570597e-16 2.497575e-16 5.001188e-17 4.008616e-17 4.849107e-17 3.928181e-17
76 1.561780e-14 2.438555e-16 2.369360e-16 4.746838e-17 3.804830e-17 4.602472e-17 3.728467e-17
77 1.482593e-14 2.314903e-16 2.249275e-16 4.508524e-17 3.613889e-17 4.371385e-17 3.541342e-17
78 1.409129e-14 2.199010e-16 2.136732e-16 4.285045e-17 3.434832e-17 4.154691e-17 3.365869e-17
79 1.339596e-14 2.090297e-16 2.031158e-16 4.075304e-17 3.266781e-17 3.951319e-17 3.201181e-17
80 1.274190e-14 1.988237e-16 1.932038e-16 3.878300e-17 3.108932e-17 3.760302e-17 3.046495e-17
81 1.212670e-14 1.892347e-16 1.838911e-16 3.693112e-17 2.960550e-17 3.580743e-17 2.901086e-17
82 1.155653e-14 1.802184e-16 1.751352e-16 3.518900e-17 2.820959e-17 3.411831e-17 2.764296e-17
83 1.101270e-14 1.717342e-16 1.668948e-16 3.354891e-17 2.689542e-17 3.252810e-17 2.635516e-17
84 1.050046e-14 1.637448e-16 1.591360e-16 3.200374e-17 2.565729e-17 3.102998e-17 2.514190e-17
85 1.001718e-14 1.562160e-16 1.518236e-16 3.054696e-17 2.448998e-17 2.961755e-17 2.399803e-17
86 9.568044e-15 1.491162e-16 1.449277e-16 2.917257e-17 2.338866e-17 2.828503e-17 2.291885e-17
87 9.138233e-15 1.424164e-16 1.384203e-16 2.787502e-17 2.234890e-17 2.702701e-17 2.190000e-17
88 8.732406e-15 1.360898e-16 1.322759e-16 2.664921e-17 2.136662e-17 2.583857e-17 2.093748e-17
89 8.348846e-15 1.301117e-16 1.264690e-16 2.549041e-17 2.043802e-17 2.471510e-17 2.002757e-17
90 7.991077e-15 1.244594e-16 1.209786e-16 2.439428e-17 1.955963e-17 2.365241e-17 1.916687e-17
