Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
56 2.492752e-14 1.963706e-15 1.668755e-15 4.265268e-16 3.475458e-16 3.846795e-16 3.202501e-16
57 2.324421e-14 1.830216e-15 1.555699e-15 3.977132e-16 3.240548e-16 3.588139e-16 2.986907e-16
58 2.169855e-14 1.707916e-15 1.452072e-15 3.712975e-16 3.025191e-16 3.350934e-16 2.789206e-16
59 2.027794e-14 1.595690e-15 1.356967e-15 3.470439e-16 2.827466e-16 3.133079e-16 2.607644e-16
60 1.897562e-14 1.492567e-15 1.269589e-15 3.247433e-16 2.645667e-16 2.932706e-16 2.440663e-16
61 1.777179e-14 1.397666e-15 1.189143e-15 3.042099e-16 2.478278e-16 2.748158e-16 2.286879e-16
62 1.666607e-14 1.310217e-15 1.115005e-15 2.852781e-16 2.323950e-16 2.577956e-16 2.145059e-16
63 1.564448e-14 1.229528e-15 1.046593e-15 2.678001e-16 2.181476e-16 2.420780e-16 2.014101e-16
64 1.469900e-14 1.154974e-15 9.833751e-16 2.516440e-16 2.049780e-16 2.275451e-16 1.893021e-16
65 1.382606e-14 1.086014e-15 9.248801e-16 2.366913e-16 1.927897e-16 2.140911e-16 1.780937e-16
66 1.301490e-14 1.022138e-15 8.707030e-16 2.228361e-16 1.814963e-16 2.016212e-16 1.677058e-16
67 1.226359e-14 9.629155e-16 8.204598e-16 2.099829e-16 1.710199e-16 1.900501e-16 1.580672e-16
68 1.156627e-14 9.079340e-16 7.738078e-16 1.980459e-16 1.612905e-16 1.793011e-16 1.491140e-16
69 1.091716e-14 8.568398e-16 7.304492e-16 1.869479e-16 1.522451e-16 1.693048e-16 1.407883e-16
70 1.031453e-14 8.093063e-16 6.901062e-16 1.766188e-16 1.438268e-16 1.599990e-16 1.330381e-16
71 9.752132e-15 7.650355e-16 6.525266e-16 1.669957e-16 1.359839e-16 1.513269e-16 1.258161e-16
72 9.228592e-15 7.237686e-16 6.174933e-16 1.580212e-16 1.286700e-16 1.432374e-16 1.190798e-16
73 8.739077e-15 6.852552e-16 5.847908e-16 1.496437e-16 1.218427e-16 1.356841e-16 1.127903e-16
74 8.281863e-15 6.492868e-16 5.542476e-16 1.418159e-16 1.154636e-16 1.286249e-16 1.069125e-16
