Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 8.987386e-14 1.028114e-13 2.770456e-14 5.622893e-14 2.527897e-15 2.621929e-14 2.419139e-15 2.305395e-15
50 8.292081e-14 9.497779e-14 2.556520e-14 5.191357e-14 2.332248e-15 2.420522e-14 2.231975e-15 2.127085e-15
51 7.662889e-14 8.788429e-14 2.362900e-14 4.800706e-14 2.155197e-15 2.238200e-14 2.062600e-15 1.965718e-15
52 7.093085e-14 8.144828e-14 2.187323e-14 4.446369e-14 1.994660e-15 2.072827e-14 1.909020e-15 1.819399e-15
53 6.574606e-14 7.559771e-14 2.027805e-14 4.124361e-14 1.848821e-15 1.922544e-14 1.769500e-15 1.686472e-15
54 6.102734e-14 7.026957e-14 1.882614e-14 3.831197e-14 1.716094e-15 1.785729e-14 1.642521e-15 1.565493e-15
55 5.672562e-14 6.540866e-14 1.750231e-14 3.563823e-14 1.595089e-15 1.660996e-14 1.526755e-15 1.455198e-15
56 5.280092e-14 6.096646e-14 1.629323e-14 3.319559e-14 1.484584e-15 1.547069e-14 1.421032e-15 1.354472e-15
57 4.921225e-14 5.690025e-14 1.518714e-14 3.096041e-14 1.383503e-15 1.442829e-14 1.324324e-15 1.262334e-15
58 4.592521e-14 5.317230e-14 1.417369e-14 2.891185e-14 1.290898e-15 1.347297e-14 1.235724e-15 1.177919e-15
59 4.290854e-14 4.974926e-14 1.324369e-14 2.703146e-14 1.205929e-15 1.259610e-14 1.154428e-15 1.100462e-15
60 4.013624e-14 4.660154e-14 1.238904e-14 2.530290e-14 1.127852e-15 1.179003e-14 1.079725e-15 1.029286e-15
61 3.758339e-14 4.370286e-14 1.160250e-14 2.371165e-14 1.056007e-15 1.104800e-14 1.010983e-15 9.637884e-16
62 3.523382e-14 4.102983e-14 1.087766e-14 2.224478e-14 9.898059e-16 1.036397e-14 9.476397e-16 9.034334e-16
63 3.306388e-14 3.856158e-14 1.020879e-14 2.089077e-14 9.287240e-16 9.732578e-15 8.891938e-16 8.477437e-16
64 3.106080e-14 3.627947e-14 9.590772e-15 1.963933e-14 8.722933e-16 9.149015e-15 8.351974e-16 7.962927e-16
65 2.920367e-14 3.416682e-14 9.019031e-15 1.848122e-14 8.200948e-16 8.608976e-15 7.852497e-16 7.486984e-16
66 2.748624e-14 3.220866e-14 8.489464e-15 1.740821e-14 7.717529e-16 8.108608e-15 7.389914e-16 7.046188e-16
67 2.589376e-14 3.039154e-14 7.998384e-15 1.641285e-14 7.269304e-16 7.644449e-15 6.960999e-16 6.637464e-16
68 2.441281e-14 2.870339e-14 7.542475e-15 1.548849e-14 6.853238e-16 7.213389e-15 6.562850e-16 6.258051e-16
69 2.303772e-14 2.713329e-14 7.118753e-15 1.462910e-14 6.466600e-16 6.812625e-15 6.192853e-16 5.905456e-16
70 2.175843e-14 2.567142e-14 6.724523e-15 1.382925e-14 6.106924e-16 6.439625e-15 5.848651e-16 5.577437e-16
71 2.056609e-14 2.430889e-14 6.357351e-15 1.308406e-14 5.771983e-16 6.092107e-15 5.528112e-16 5.271960e-16
72 1.945639e-14 2.303764e-14 6.015034e-15 1.238907e-14 5.459761e-16 5.767999e-15 5.229309e-16 4.987192e-16
73 1.841897e-14 2.185039e-14 5.695575e-15 1.174026e-14 5.168431e-16 5.465429e-15 4.950494e-16 4.721467e-16
74 1.745022e-14 2.074052e-14 5.397163e-15 1.113398e-14 4.896336e-16 5.182690e-15 4.690082e-16 4.473274e-16
75 1.654444e-14 1.970200e-14 5.118151e-15 1.056691e-14 4.641970e-16 4.918241e-15 4.446632e-16 4.241243e-16
76 1.569740e-14 1.872936e-14 4.857042e-15 1.003604e-14 4.403963e-16 4.670672e-15 4.218834e-16 4.024125e-16
77 1.490286e-14 1.781761e-14 4.612473e-15 9.538616e-15 4.181067e-16 4.438701e-15 4.005494e-16 3.820781e-16
78 1.415985e-14 1.696219e-14 4.383197e-15 9.072122e-15 3.972144e-16 4.221157e-15 3.805523e-16 3.630176e-16
79 1.346109e-14 1.615894e-14 4.168079e-15 8.634270e-15 3.776154e-16 4.016973e-15 3.617926e-16 3.451362e-16
80 1.280578e-14 1.540406e-14 3.966079e-15 8.222963e-15 3.592147e-16 3.825171e-15 3.441795e-16 3.283472e-16
81 1.218928e-14 1.469407e-14 3.776248e-15 7.836283e-15 3.419254e-16 3.644857e-15 3.276297e-16 3.125715e-16
82 1.161039e-14 1.402577e-14 3.597713e-15 7.472471e-15 3.256677e-16 3.475210e-15 3.120671e-16 2.977363e-16
