Ls TT TE TB EE EB EB_gmv TEB_gmv
56 6.507323e-14 6.794325e-14 1.125757e-13 3.572107e-14 2.262516e-15 2.127748e-15 2.034584e-15
57 6.064577e-14 6.341360e-14 1.048929e-13 3.331525e-14 2.108307e-15 1.982827e-15 1.896047e-15
58 5.658942e-14 5.926082e-14 9.785520e-14 3.111034e-14 1.967038e-15 1.850062e-15 1.769130e-15
59 5.286748e-14 5.544765e-14 9.139848e-14 2.908649e-14 1.837425e-15 1.728250e-15 1.652681e-15
60 4.944738e-14 5.194120e-14 8.546617e-14 2.722611e-14 1.718333e-15 1.616321e-15 1.545681e-15
61 4.630014e-14 4.871216e-14 8.000797e-14 2.551354e-14 1.608752e-15 1.513330e-15 1.447222e-15
62 4.340004e-14 4.573445e-14 7.497907e-14 2.393487e-14 1.507786e-15 1.418431e-15 1.356499e-15
63 4.072413e-14 4.298486e-14 7.033959e-14 2.247768e-14 1.414633e-15 1.330874e-15 1.272794e-15
64 3.825190e-14 4.044261e-14 6.605389e-14 2.113091e-14 1.328578e-15 1.249987e-15 1.195464e-15
65 3.596504e-14 3.808911e-14 6.209006e-14 1.988460e-14 1.248982e-15 1.175168e-15 1.123935e-15
66 3.384705e-14 3.590768e-14 5.841953e-14 1.872989e-14 1.175271e-15 1.105879e-15 1.057692e-15
67 3.188319e-14 3.388336e-14 5.501659e-14 1.765877e-14 1.106931e-15 1.041637e-15 9.962725e-16
68 3.006018e-14 3.200267e-14 5.185820e-14 1.666405e-14 1.043498e-15 9.820049e-16 9.392606e-16
69 2.836605e-14 3.025348e-14 4.892353e-14 1.573927e-14 9.845543e-16 9.265923e-16 8.862819e-16
70 2.679000e-14 2.862484e-14 4.619385e-14 1.487858e-14 9.297248e-16 8.750454e-16 8.369984e-16
71 2.532229e-14 2.710684e-14 4.365218e-14 1.407670e-14 8.786688e-16 8.270445e-16 7.911048e-16
72 2.395409e-14 2.569053e-14 4.128319e-14 1.332886e-14 8.310787e-16 7.823008e-16 7.483246e-16
73 2.267739e-14 2.436776e-14 3.907300e-14 1.263072e-14 7.866758e-16 7.405521e-16 7.084075e-16
74 2.148493e-14 2.313119e-14 3.700897e-14 1.197835e-14 7.452069e-16 7.015609e-16 6.711264e-16
75 2.037014e-14 2.197409e-14 3.507969e-14 1.136818e-14 7.064426e-16 6.651111e-16 6.362749e-16
76 1.932701e-14 2.089038e-14 3.327469e-14 1.079696e-14 6.701733e-16 6.310063e-16 6.036651e-16
77 1.835006e-14 1.987447e-14 3.158451e-14 1.026173e-14 6.362087e-16 5.990677e-16 5.731259e-16
78 1.743432e-14 1.892132e-14 3.000047e-14 9.759795e-15 6.043754e-16 5.691319e-16 5.445015e-16
79 1.657524e-14 1.802627e-14 2.851468e-14 9.288678e-15 5.745143e-16 5.410499e-16 5.176492e-16
80 1.576865e-14 1.718511e-14 2.711992e-14 8.846127e-15 5.464807e-16 5.146854e-16 4.924390e-16
81 1.501075e-14 1.639394e-14 2.580956e-14 8.430076e-15 5.201417e-16 4.899136e-16 4.687514e-16
82 1.429803e-14 1.564921e-14 2.457753e-14 8.038634e-15 4.953758e-16 4.666207e-16 4.464774e-16
83 1.362732e-14 1.494765e-14 2.341830e-14 7.670063e-15 4.720715e-16 4.447014e-16 4.255169e-16
84 1.299565e-14 1.428628e-14 2.232676e-14 7.322769e-15 4.501263e-16 4.240597e-16 4.057776e-16
85 1.240034e-14 1.366232e-14 2.129820e-14 6.995286e-15 4.294461e-16 4.046070e-16 3.871752e-16
86 1.183890e-14 1.307325e-14 2.032832e-14 6.686265e-15 4.099443e-16 3.862621e-16 3.696318e-16
87 1.130903e-14 1.251671e-14 1.941314e-14 6.394463e-15 3.915412e-16 3.689499e-16 3.530757e-16
88 1.080862e-14 1.199057e-14 1.854900e-14 6.118732e-15 3.741630e-16 3.526014e-16 3.374411e-16
89 1.033573e-14 1.149282e-14 1.773253e-14 5.858016e-15 3.577422e-16 3.371526e-16 3.226666e-16
90 9.888554e-15 1.102162e-14 1.696059e-14 5.611337e-15 3.422159e-16 3.225450e-16 3.086964e-16
91 9.465432e-15 1.057528e-14 1.623030e-14 5.377791e-15 3.275263e-16 3.087239e-16 2.954781e-16
92 9.064818e-15 1.015223e-14 1.553899e-14 5.156542e-15 3.136196e-16 2.956389e-16 2.829636e-16
93 8.685300e-15 9.750990e-15 1.488418e-14 4.946816e-15 3.004464e-16 2.832435e-16 2.711084e-16
94 8.325544e-15 9.370218e-15 1.426360e-14 4.747894e-15 2.879606e-16 2.714944e-16 2.598712e-16
95 7.984332e-15 9.008663e-15 1.367511e-14 4.559110e-15 2.761196e-16 2.603515e-16 2.492136e-16
96 7.660524e-15 8.665146e-15 1.311673e-14 4.379846e-15 2.648837e-16 2.497777e-16 2.391000e-16
97 7.353065e-15 8.338597e-15 1.258665e-14 4.209526e-15 2.542161e-16 2.397382e-16 2.294975e-16
98 7.060968e-15 8.028000e-15 1.208314e-14 4.047615e-15 2.440827e-16 2.302009e-16 2.203751e-16
99 6.783322e-15 7.732416e-15 1.160463e-14 3.893617e-15 2.344516e-16 2.211360e-16 2.117044e-16
100 6.519276e-15 7.450972e-15 1.114964e-14 3.747068e-15 2.252932e-16 2.125156e-16 2.034588e-16
101 6.268037e-15 7.182855e-15 1.071680e-14 3.607535e-15 2.165798e-16 2.043138e-16 1.956132e-16
102 6.028860e-15 6.927300e-15 1.030483e-14 3.474616e-15 2.082858e-16 1.965062e-16 1.881448e-16
103 5.801056e-15 6.683601e-15 9.912516e-15 3.347935e-15 2.003871e-16 1.890704e-16 1.810319e-16
104 5.583984e-15 6.451091e-15 9.538753e-15 3.227140e-15 1.928612e-16 1.819853e-16 1.742542e-16
105 5.377042e-15 6.229151e-15 9.182498e-15 3.111903e-15 1.856872e-16 1.752311e-16 1.677930e-16
106 5.179662e-15 6.017203e-15 8.842775e-15 3.001917e-15 1.788455e-16 1.687895e-16 1.616307e-16
107 4.991321e-15 5.814702e-15 8.518668e-15 2.896895e-15 1.723177e-16 1.626431e-16 1.557508e-16
108 4.811523e-15 5.621138e-15 8.209325e-15 2.796567e-15 1.660868e-16 1.567760e-16 1.501378e-16
109 4.639808e-15 5.436036e-15 7.913943e-15 2.700682e-15 1.601366e-16 1.511728e-16 1.447773e-16
110 4.475741e-15 5.258947e-15 7.631771e-15 2.609002e-15 1.544520e-16 1.458195e-16 1.396558e-16
111 4.318917e-15 5.089450e-15 7.362109e-15 2.521307e-15 1.490189e-16 1.407029e-16 1.347605e-16
112 4.168953e-15 4.927156e-15 7.104296e-15 2.437387e-15 1.438241e-16 1.358103e-16 1.300795e-16
113 4.025490e-15 4.771693e-15 6.857711e-15 2.357048e-15 1.388551e-16 1.311302e-16 1.256017e-16
114 3.888196e-15 4.622709e-15 6.621769e-15 2.280105e-15 1.341002e-16 1.266514e-16 1.213165e-16
115 3.756750e-15 4.479883e-15 6.395927e-15 2.206385e-15 1.295484e-16 1.223637e-16 1.172140e-16
116 3.630857e-15 4.342901e-15 6.179667e-15 2.135727e-15 1.251893e-16 1.182574e-16 1.132850e-16
117 3.510237e-15 4.211474e-15 5.972507e-15 2.067977e-15 1.210132e-16 1.143233e-16 1.095206e-16
118 3.394625e-15 4.085333e-15 5.773988e-15 2.002990e-15 1.170110e-16 1.105527e-16 1.059126e-16
119 3.283772e-15 3.964215e-15 5.583682e-15 1.940631e-15 1.131740e-16 1.069376e-16 1.024534e-16
120 3.177448e-15 3.847880e-15 5.401184e-15 1.880772e-15 1.094941e-16 1.034703e-16 9.913547e-17
121 3.075428e-15 3.736097e-15 5.226112e-15 1.823292e-15 1.059636e-16 1.001436e-16 9.595204e-17
122 2.977506e-15 3.628653e-15 5.058107e-15 1.768076e-15 1.025752e-16 9.695063e-17 9.289656e-17
123 2.883483e-15 3.525338e-15 4.896828e-15 1.715018e-15 9.932223e-17 9.388504e-17 8.996287e-17
124 2.793177e-15 3.425964e-15 4.741952e-15 1.664016e-15 9.619810e-17 9.094074e-17 8.714522e-17
125 2.706409e-15 3.330346e-15 4.593177e-15 1.614973e-15 9.319678e-17 8.811202e-17 8.443807e-17
126 2.623016e-15 3.238312e-15 4.450219e-15 1.567798e-15 9.031248e-17 8.539342e-17 8.183630e-17
127 2.542841e-15 3.149699e-15 4.312804e-15 1.522406e-15 8.753976e-17 8.277984e-17 7.933494e-17
