Ls T E B
124 1.641078e-17 1.346675e-18 1.319740e-18
125 1.719144e-17 1.334096e-18 1.307058e-18
126 1.800923e-17 1.321730e-18 1.294589e-18
127 1.886592e-17 1.309572e-18 1.282328e-18
128 1.976337e-17 1.297617e-18 1.270270e-18
129 2.070351e-17 1.285859e-18 1.258410e-18
130 2.168837e-17 1.274294e-18 1.246743e-18
131 2.272008e-17 1.262918e-18 1.235266e-18
132 2.380087e-17 1.251726e-18 1.223972e-18
133 2.493307e-17 1.240713e-18 1.212859e-18
134 2.611913e-17 1.229876e-18 1.201923e-18
135 2.736161e-17 1.219211e-18 1.191158e-18
136 2.866319e-17 1.208713e-18 1.180562e-18
137 3.002669e-17 1.198380e-18 1.170130e-18
138 3.145505e-17 1.188207e-18 1.159860e-18
139 3.295136e-17 1.178190e-18 1.149747e-18
140 3.451885e-17 1.168328e-18 1.139788e-18
141 3.616090e-17 1.158615e-18 1.129980e-18
142 3.788107e-17 1.149050e-18 1.120320e-18
143 3.968306e-17 1.139628e-18 1.110805e-18
144 4.157077e-17 1.130348e-18 1.101431e-18
145 4.354828e-17 1.121205e-18 1.092197e-18
146 4.561986e-17 1.112197e-18 1.083098e-18
147 4.778999e-17 1.103322e-18 1.074133e-18
148 5.006334e-17 1.094577e-18 1.065299e-18
149 5.244484e-17 1.085959e-18 1.056593e-18
150 5.493963e-17 1.077465e-18 1.048013e-18
151 5.755309e-17 1.069094e-18 1.039556e-18
152 6.029088e-17 1.060842e-18 1.031219e-18
153 6.315890e-17 1.052708e-18 1.023002e-18
154 6.616335e-17 1.044689e-18 1.014901e-18
155 6.931072e-17 1.036783e-18 1.006914e-18
156 7.260782e-17 1.028988e-18 9.990400e-19
157 7.606175e-17 1.021302e-18 9.912757e-19
158 7.967999e-17 1.013722e-18 9.836195e-19
159 7.940265e-17 1.006247e-18 9.760696e-19
160 7.527029e-17 9.988754e-19 9.686239e-19
161 7.135299e-17 9.916043e-19 9.612807e-19
162 6.763956e-17 9.844322e-19 9.540381e-19
163 6.411938e-17 9.773573e-19 9.468943e-19
164 6.078241e-17 9.703779e-19 9.398476e-19
165 5.761910e-17 9.634923e-19 9.328963e-19
166 5.462042e-17 9.566987e-19 9.260388e-19
167 5.177781e-17 9.499955e-19 9.192734e-19
168 4.908313e-17 9.433811e-19 9.125985e-19
169 4.652869e-17 9.368538e-19 9.060126e-19
170 4.410719e-17 9.304123e-19 8.995141e-19
171 4.181171e-17 9.240548e-19 8.931015e-19
172 3.963570e-17 9.177800e-19 8.867734e-19
173 3.757293e-17 9.115864e-19 8.805282e-19
174 3.561752e-17 9.054725e-19 8.743646e-19
175 3.376387e-17 8.994370e-19 8.682812e-19
176 3.200670e-17 8.934784e-19 8.622765e-19
177 3.034097e-17 8.875954e-19 8.563493e-19
178 2.876193e-17 8.817868e-19 8.504982e-19
179 2.726507e-17 8.760512e-19 8.447219e-19
180 2.584611e-17 8.703872e-19 8.390190e-19
181 2.450100e-17 8.647938e-19 8.333885e-19
182 2.322589e-17 8.592696e-19 8.278289e-19
183 2.201714e-17 8.538135e-19 8.223391e-19
184 2.087130e-17 8.484242e-19 8.169179e-19
185 1.978509e-17 8.431007e-19 8.115641e-19
186 1.875541e-17 8.378417e-19 8.062765e-19
187 1.777932e-17 8.326461e-19 8.010539e-19
188 1.685403e-17 8.275130e-19 7.958953e-19
189 1.597689e-17 8.224411e-19 7.907996e-19
190 1.514541e-17 8.174295e-19 7.857656e-19
191 1.435719e-17 8.124770e-19 7.807923e-19
192 1.361000e-17 8.075827e-19 7.758787e-19
193 1.290169e-17 8.027457e-19 7.710236e-19
194 1.223025e-17 7.979648e-19 7.662261e-19
195 1.159375e-17 7.932392e-19 7.614853e-19
196 1.099037e-17 7.885679e-19 7.568000e-19
197 1.041840e-17 7.839500e-19 7.521694e-19
198 9.876193e-18 7.793846e-19 7.475925e-19
199 9.798562e-18 7.748708e-19 7.430684e-19
200 1.017465e-17 7.704078e-19 7.385962e-19
201 1.056517e-17 7.659946e-19 7.341750e-19
202 1.097067e-17 7.616305e-19 7.298039e-19
203 1.139175e-17 7.573146e-19 7.254821e-19
204 1.182898e-17 7.530462e-19 7.212087e-19
205 1.228300e-17 7.488244e-19 7.169829e-19
206 1.275444e-17 7.446486e-19 7.128039e-19
207 1.324397e-17 7.405178e-19 7.086710e-19
208 1.375230e-17 7.364315e-19 7.045833e-19
209 1.428014e-17 7.323888e-19 7.005401e-19
210 1.482823e-17 7.283892e-19 6.965407e-19
211 1.539736e-17 7.244317e-19 6.925843e-19
212 1.598834e-17 7.205159e-19 6.886702e-19
213 1.660200e-17 7.166411e-19 6.847977e-19
214 1.723921e-17 7.128065e-19 6.809662e-19
215 1.790088e-17 7.090116e-19 6.771750e-19
216 1.858794e-17 7.052557e-19 6.734234e-19
217 1.930138e-17 7.015382e-19 6.697109e-19
218 2.004220e-17 6.978586e-19 6.660367e-19
219 2.081145e-17 6.942162e-19 6.624003e-19
220 2.161022e-17 6.906104e-19 6.588010e-19
221 2.243966e-17 6.870408e-19 6.552384e-19
222 2.330093e-17 6.835067e-19 6.517118e-19
223 2.419526e-17 6.800076e-19 6.482206e-19
224 2.512391e-17 6.765430e-19 6.447644e-19
225 2.608821e-17 6.731124e-19 6.413425e-19
226 2.708952e-17 6.697153e-19 6.379545e-19
227 2.812926e-17 6.663511e-19 6.345999e-19
228 2.920890e-17 6.630194e-19 6.312781e-19
229 3.032999e-17 6.597197e-19 6.279886e-19
230 3.149410e-17 6.564516e-19 6.247311e-19
231 3.270290e-17 6.532145e-19 6.215049e-19
232 3.395809e-17 6.500081e-19 6.183097e-19
233 3.526146e-17 6.468319e-19 6.151450e-19
234 3.661485e-17 6.436854e-19 6.120103e-19
235 3.802019e-17 6.405683e-19 6.089053e-19
236 3.947946e-17 6.374801e-19 6.058294e-19
237 4.099475e-17 6.344205e-19 6.027823e-19
238 4.256819e-17 6.313890e-19 5.997636e-19
239 4.188110e-17 6.283852e-19 5.967729e-19
240 3.904153e-17 6.254088e-19 5.938098e-19
241 3.639449e-17 6.224594e-19 5.908738e-19
242 3.392692e-17 6.195366e-19 5.879647e-19
243 3.162665e-17 6.166401e-19 5.850821e-19
244 2.948234e-17 6.137695e-19 5.822255e-19
245 2.748342e-17 6.109244e-19 5.793947e-19
246 2.562003e-17 6.081045e-19 5.765893e-19
247 2.388297e-17 6.053095e-19 5.738090e-19
248 2.226369e-17 6.025391e-19 5.710533e-19
249 2.075420e-17 5.997929e-19 5.683221e-19
250 1.934705e-17 5.970706e-19 5.656149e-19
251 1.803530e-17 5.943719e-19 5.629315e-19
252 1.681250e-17 5.916965e-19 5.602716e-19
253 1.567260e-17 5.890441e-19 5.576348e-19
254 1.460999e-17 5.864144e-19 5.550208e-19
255 1.361942e-17 5.838071e-19 5.524294e-19
256 1.269601e-17 5.812220e-19 5.498603e-19
257 1.183521e-17 5.786587e-19 5.473131e-19
258 1.103278e-17 5.761170e-19 5.447876e-19
259 1.028475e-17 5.735965e-19 5.422836e-19
260 9.587436e-18 5.710971e-19 5.398008e-19
261 8.937401e-18 5.686185e-19 5.373388e-19
262 8.331439e-18 5.661604e-19 5.348975e-19
263 7.766562e-18 5.637226e-19 5.324765e-19
264 7.239984e-18 5.613048e-19 5.300757e-19
265 6.749108e-18 5.589068e-19 5.276948e-19
266 6.291514e-18 5.565283e-19 5.253336e-19
267 5.864945e-18 5.541692e-19 5.229917e-19
268 5.467297e-18 5.518291e-19 5.206691e-19
269 5.096611e-18 5.495078e-19 5.183654e-19
270 4.751057e-18 5.472052e-19 5.160804e-19
271 4.428932e-18 5.449209e-19 5.138139e-19
272 4.128648e-18 5.426549e-19 5.115657e-19
273 3.848723e-18 5.404068e-19 5.093355e-19
274 3.587776e-18 5.381764e-19 5.071233e-19
275 3.344523e-18 5.359637e-19 5.049286e-19
276 3.117762e-18 5.337682e-19 5.027514e-19
277 2.906375e-18 5.315899e-19 5.005915e-19
278 2.709321e-18 5.294286e-19 4.984486e-19
279 2.699023e-18 5.272840e-19 4.963225e-19
280 2.873359e-18 5.251560e-19 4.942131e-19
281 3.058956e-18 5.230444e-19 4.921202e-19
282 3.256542e-18 5.209489e-19 4.900435e-19
283 3.466889e-18 5.188695e-19 4.879830e-19
284 3.690824e-18 5.168059e-19 4.859383e-19
285 3.929223e-18 5.147579e-19 4.839094e-19
286 4.183021e-18 5.127255e-19 4.818961e-19
287 4.453212e-18 5.107083e-19 4.798981e-19
288 4.740856e-18 5.087063e-19 4.779154e-19
289 5.047079e-18 5.067190e-19 4.759475e-19
290 5.373082e-18 5.047467e-19 4.739947e-19
291 5.720142e-18 5.027891e-19 4.720566e-19
292 6.089620e-18 5.008460e-19 4.701331e-19
293 6.482963e-18 4.989171e-19 4.682240e-19
294 6.901713e-18 4.970025e-19 4.663292e-19
295 7.347511e-18 4.951019e-19 4.644484e-19
296 7.822104e-18 4.932152e-19 4.625817e-19
297 8.327352e-18 4.913422e-19 4.607287e-19
298 8.865236e-18 4.894827e-19 4.588894e-19
299 9.437862e-18 4.876367e-19 4.570635e-19
300 1.004748e-17 4.858040e-19 4.552511e-19
301 1.069647e-17 4.839844e-19 4.534519e-19
302 1.138738e-17 4.821779e-19 4.516657e-19
303 1.212291e-17 4.803842e-19 4.498925e-19
304 1.290596e-17 4.786032e-19 4.481321e-19
305 1.373959e-17 4.768349e-19 4.463844e-19
306 1.462706e-17 4.750790e-19 4.446493e-19
307 1.557186e-17 4.733355e-19 4.429266e-19
308 1.657768e-17 4.716042e-19 4.412161e-19
309 1.764847e-17 4.698850e-19 4.395179e-19
310 1.878843e-17 4.681778e-19 4.378316e-19
311 2.000202e-17 4.664824e-19 4.361573e-19
312 2.129400e-17 4.647988e-19 4.344948e-19
313 2.266943e-17 4.631268e-19 4.328440e-19
314 2.413370e-17 4.614662e-19 4.312048e-19
315 2.569255e-17 4.598171e-19 4.295770e-19
316 2.735210e-17 4.581792e-19 4.279605e-19
317 2.911884e-17 4.565524e-19 4.263553e-19
318 3.099969e-17 4.549368e-19 4.247611e-19
319 3.170001e-17 4.533320e-19 4.231780e-19
320 3.113725e-17 4.517381e-19 4.216058e-19
321 3.058448e-17 4.501549e-19 4.200443e-19
322 3.004152e-17 4.485823e-19 4.184935e-19
323 2.950820e-17 4.470202e-19 4.169533e-19
324 2.898435e-17 4.454685e-19 4.154236e-19
325 2.846980e-17 4.439271e-19 4.139043e-19
326 2.796438e-17 4.423960e-19 4.123952e-19
327 2.746793e-17 4.408749e-19 4.108963e-19
328 2.698030e-17 4.393639e-19 4.094075e-19
329 2.650133e-17 4.378628e-19 4.079286e-19
330 2.603086e-17 4.363715e-19 4.064597e-19
331 2.556874e-17 4.348899e-19 4.050005e-19
332 2.511482e-17 4.334179e-19 4.035510e-19
333 2.466897e-17 4.319556e-19 4.021112e-19
334 2.423102e-17 4.305026e-19 4.006808e-19
335 2.380086e-17 4.290590e-19 3.992599e-19
336 2.337833e-17 4.276247e-19 3.978483e-19
337 2.296330e-17 4.261996e-19 3.964460e-19
