    5.00 1.1602E-02 1.1192E-02 1.1726E-02 1.1654E-02 1.1032E-02 1.0674E-02 1.1020E-02 1.0245E-02 1.0532E-02 1.0419E-02 9.8267E-03 1.0305E-02 1.0327E-02 1.0347E-02 1.0273E-02 1.0351E-02 9.8979E-03
    5.24 1.8486E-02 2.3347E-02 1.8585E-02 1.8424E-02 2.2669E-02 2.1804E-02 1.7311E-02 2.0796E-02 1.7762E-02 1.4934E-02 1.9821E-02 1.6103E-02 1.6130E-02 1.6155E-02 1.7246E-02 1.6160E-02 1.9908E-02
    5.48 2.2666E-02 2.1114E-02 2.2810E-02 2.2625E-02 2.0696E-02 1.9978E-02 2.1291E-02 1.9134E-02 2.2228E-02 2.2128E-02 1.8316E-02 1.9829E-02 1.9864E-02 1.9896E-02 2.1582E-02 1.9902E-02 1.8427E-02
    5.74 4.3176E-02 4.0140E-02 4.3149E-02 4.2641E-02 3.8919E-02 3.7408E-02 3.9748E-02 3.5662E-02 2.9631E-02 3.0662E-02 3.3977E-02 3.6729E-02 3.6770E-02 3.6809E-02 2.8746E-02 3.6816E-02 3.4114E-02
    6.01 6.5391E-02 6.3932E-02 6.5308E-02 6.4521E-02 6.1717E-02 5.9221E-02 6.0102E-02 5.6352E-02 6.9977E-02 6.9409E-02 5.3587E-02 5.5505E-02 5.5564E-02 5.5619E-02 6.7521E-02 5.5629E-02 5.3759E-02
    6.29 1.9905E-01 1.5792E-01 1.9759E-01 1.9459E-01 1.5140E-01 1.4489E-01 1.7979E-01 1.3746E-01 9.1930E-02 1.1249E-01 1.3031E-01 1.6491E-01 1.6500E-01 1.6509E-01 8.8644E-02 1.6510E-01 1.3056E-01
    6.59 7.4591E-02 7.9863E-02 7.4621E-02 7.3797E-02 7.7399E-02 7.4389E-02 6.8945E-02 7.0923E-02 7.6619E-02 6.8533E-02 6.7583E-02 6.3838E-02 6.3916E-02 6.3988E-02 7.4102E-02 6.4001E-02 6.7843E-02
    6.90 8.4055E-02 8.0197E-02 8.4161E-02 8.3277E-02 7.7986E-02 7.5055E-02 7.7926E-02 7.1671E-02 7.4990E-02 7.4735E-02 6.8406E-02 7.2251E-02 7.2346E-02 7.2433E-02 7.2669E-02 7.2448E-02 6.8707E-02
    7.23 1.3070E-01 1.2777E-01 1.3062E-01 1.2912E-01 1.2376E-01 1.1894E-01 1.2055E-01 1.1341E-01 1.1785E-01 1.1487E-01 1.0807E-01 1.1156E-01 1.1169E-01 1.1180E-01 1.1403E-01 1.1183E-01 1.0847E-01
    7.57 2.7985E-01 3.2524E-01 2.7870E-01 2.7502E-01 3.1326E-01 3.0046E-01 2.5566E-01 2.8580E-01 2.4263E-01 2.1758E-01 2.7171E-01 2.3578E-01 2.3598E-01 2.3616E-01 2.3429E-01 2.3620E-01 2.7242E-01
    7.92 2.7276E-01 2.7612E-01 2.7213E-01 2.6879E-01 2.6673E-01 2.5618E-01 2.5051E-01 2.4404E-01 2.1449E-01 2.0821E-01 2.3236E-01 2.3157E-01 2.3180E-01 2.3201E-01 2.0746E-01 2.3205E-01 2.3309E-01
