Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 9.432534e-14 1.310017e-13 7.731394e-14 9.699923e-14 7.966148e-15 3.537947e-14 7.361572e-15 6.499404e-15
50 8.702732e-14 1.210312e-13 7.136267e-14 8.958088e-14 7.350879e-15 3.266412e-14 6.793420e-15 5.997999e-15
51 8.042320e-14 1.120023e-13 6.597581e-14 8.286443e-14 6.794038e-15 3.020595e-14 6.279207e-15 5.544186e-15
52 7.444134e-14 1.038099e-13 6.109022e-14 7.677144e-14 6.289085e-15 2.797623e-14 5.812895e-15 5.132639e-15
53 6.899965e-14 9.636231e-14 5.665085e-14 7.123354e-14 5.830317e-15 2.594988e-14 5.389221e-15 4.758715e-15
54 6.404715e-14 8.957947e-14 5.260959e-14 6.619095e-14 5.412753e-15 2.410504e-14 5.003586e-15 4.418357e-15
55 5.953229e-14 8.339112e-14 4.892429e-14 6.159128e-14 5.032024e-15 2.242314e-14 4.651958e-15 4.108030e-15
56 5.541256e-14 7.773555e-14 4.555788e-14 5.738851e-14 4.684295e-15 2.088693e-14 4.330797e-15 3.824598e-15
57 5.164538e-14 7.255840e-14 4.247776e-14 5.354209e-14 4.366188e-15 1.948129e-14 4.036985e-15 3.565299e-15
58 4.819472e-14 6.781170e-14 3.965513e-14 5.001625e-14 4.074721e-15 1.819303e-14 3.767769e-15 3.327705e-15
59 4.502800e-14 6.345299e-14 3.706454e-14 4.677934e-14 3.807259e-15 1.701050e-14 3.520716e-15 3.109665e-15
60 4.211788e-14 5.944466e-14 3.468341e-14 4.380329e-14 3.561464e-15 1.592342e-14 3.293670e-15 2.909277e-15
61 3.943841e-14 5.575325e-14 3.249171e-14 4.106319e-14 3.335262e-15 1.492265e-14 3.084713e-15 2.724850e-15
62 3.697186e-14 5.234902e-14 3.047157e-14 3.853684e-14 3.126804e-15 1.400005e-14 2.892141e-15 2.554879e-15
63 3.469421e-14 4.920542e-14 2.860710e-14 3.620446e-14 2.934443e-15 1.314838e-14 2.714433e-15 2.398023e-15
64 3.259147e-14 4.629873e-14 2.688408e-14 3.404837e-14 2.756709e-15 1.236117e-14 2.550231e-15 2.253083e-15
65 3.064261e-14 4.360772e-14 2.528979e-14 3.205275e-14 2.592285e-15 1.163263e-14 2.398320e-15 2.118988e-15
66 2.883996e-14 4.111336e-14 2.381283e-14 3.020342e-14 2.439991e-15 1.095757e-14 2.257609e-15 1.994776e-15
67 2.716847e-14 3.879853e-14 2.244295e-14 2.848762e-14 2.298766e-15 1.033133e-14 2.127121e-15 1.879583e-15
68 2.561448e-14 3.664785e-14 2.117096e-14 2.689390e-14 2.167658e-15 9.749709e-15 2.005976e-15 1.772635e-15
