Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 4.452298e-14 4.701232e-14 2.268717e-13 3.691837e-14 2.362303e-14 1.403859e-14 1.440541e-14 8.803964e-15
50 4.108736e-14 4.348323e-14 2.092427e-13 3.412882e-14 2.178984e-14 1.297227e-14 1.329899e-14 8.129840e-15
51 3.797790e-14 4.028575e-14 1.932937e-13 3.160200e-14 2.013115e-14 1.200652e-14 1.229742e-14 7.519505e-15
52 3.515822e-14 3.738294e-14 1.788363e-13 2.930864e-14 1.862737e-14 1.113036e-14 1.138899e-14 6.965927e-15
53 3.259618e-14 3.474261e-14 1.657065e-13 2.722319e-14 1.726149e-14 1.033312e-14 1.056348e-14 6.462546e-15
54 3.026418e-14 3.233661e-14 1.537605e-13 2.532331e-14 1.601861e-14 9.609848e-15 9.811934e-15 6.005325e-15
55 2.815306e-14 3.014024e-14 1.428729e-13 2.358943e-14 1.488569e-14 8.952343e-15 9.126549e-15 5.589242e-15
56 2.624321e-14 2.813182e-14 1.329331e-13 2.200435e-14 1.385124e-14 8.348409e-15 8.500415e-15 5.207911e-15
57 2.447820e-14 2.629223e-14 1.238437e-13 2.055291e-14 1.290515e-14 7.795221e-15 7.927486e-15 4.858817e-15
58 2.285568e-14 2.460459e-14 1.155187e-13 1.922172e-14 1.203849e-14 7.287570e-15 7.402398e-15 4.538670e-15
59 2.136383e-14 2.305397e-14 1.078826e-13 1.799896e-14 1.124344e-14 6.821183e-15 6.920439e-15 4.244700e-15
60 1.999247e-14 2.162713e-14 1.008681e-13 1.687413e-14 1.051300e-14 6.392095e-15 6.477410e-15 3.974378e-15
61 1.872861e-14 2.031230e-14 9.441565e-14 1.583790e-14 9.840983e-15 5.996794e-15 6.069602e-15 3.725464e-15
62 1.756343e-14 1.909900e-14 8.847209e-14 1.488196e-14 9.221862e-15 5.632148e-15 5.693675e-15 3.495952e-15
63 1.648677e-14 1.797789e-14 8.298979e-14 1.399891e-14 8.650699e-15 5.295330e-15 5.346679e-15 3.284050e-15
64 1.549248e-14 1.694060e-14 7.792633e-14 1.318213e-14 8.123096e-15 4.983809e-15 5.025980e-15 3.088155e-15
65 1.457165e-14 1.597966e-14 7.324379e-14 1.242570e-14 7.635123e-15 4.695338e-15 4.729218e-15 2.906837e-15
66 1.371857e-14 1.508836e-14 6.890914e-14 1.172430e-14 7.183314e-15 4.427888e-15 4.454259e-15 2.738803e-15
67 1.292726e-14 1.426067e-14 6.489144e-14 1.107315e-14 6.764471e-15 4.179641e-15 4.199214e-15 2.582904e-15
68 1.219247e-14 1.349115e-14 6.116304e-14 1.046796e-14 6.375732e-15 3.948954e-15 3.962368e-15 2.438098e-15
69 1.150920e-14 1.277493e-14 5.769943e-14 9.904862e-15 6.014545e-15 3.734350e-15 3.742176e-15 2.303446e-15
70 1.087357e-14 1.210758e-14 5.447816e-14 9.380353e-15 5.678590e-15 3.534491e-15 3.537253e-15 2.178104e-15
71 1.028130e-14 1.148511e-14 5.147951e-14 8.891276e-15 5.365799e-15 3.348171e-15 3.346328e-15 2.061303e-15
72 9.729237e-15 1.090390e-14 4.868525e-14 8.434770e-15 5.074275e-15 3.174295e-15 3.168271e-15 1.952351e-15
73 9.213911e-15 1.036069e-14 4.607884e-14 8.008239e-15 4.802309e-15 3.011873e-15 3.002061e-15 1.850625e-15
74 8.732313e-15 9.852479e-15 4.364503e-14 7.609329e-15 4.548329e-15 2.860002e-15 2.846742e-15 1.755548e-15
75 8.282132e-15 9.376576e-15 4.137049e-14 7.235899e-15 4.310936e-15 2.717865e-15 2.701478e-15 1.666608e-15
76 7.860709e-15 8.930510e-15 3.924284e-14 6.885999e-15 4.088848e-15 2.584716e-15 2.565485e-15 1.583327e-15
77 7.465918e-15 8.512038e-15 3.725100e-14 6.557854e-15 3.880899e-15 2.459875e-15 2.438066e-15 1.505281e-15
78 7.095865e-15 8.119109e-15 3.538460e-14 6.249842e-15 3.686021e-15 2.342725e-15 2.318570e-15 1.432076e-15
79 6.748561e-15 7.749847e-15 3.363412e-14 5.960481e-15 3.503230e-15 2.232688e-15 2.206421e-15 1.363352e-15
80 6.422394e-15 7.402539e-15 3.199073e-14 5.688416e-15 3.331626e-15 2.129277e-15 2.101063e-15 1.298787e-15
81 6.115849e-15 7.075617e-15 3.044749e-14 5.432408e-15 3.170437e-15 2.031923e-15 2.002030e-15 1.238057e-15
82 5.829510e-15 6.767638e-15 2.899677e-14 5.191319e-15 3.018890e-15 1.940559e-15 1.908844e-15 1.181012e-15
83 5.567064e-15 6.477282e-15 2.763177e-14 4.964103e-15 2.876296e-15 1.855147e-15 1.821109e-15 1.127539e-15
84 5.314961e-15 6.203334e-15 2.634639e-14 4.749802e-15 2.742023e-15 1.774144e-15 1.738440e-15 1.076970e-15
85 5.075810e-15 5.944675e-15 2.513559e-14 4.547533e-15 2.615512e-15 1.697577e-15 1.660483e-15 1.029226e-15
86 4.849602e-15 5.700278e-15 2.399418e-14 4.356484e-15 2.496232e-15 1.625212e-15 1.586930e-15 9.841435e-16
87 4.635844e-15 5.469194e-15 2.291696e-14 4.175905e-15 2.383672e-15 1.556793e-15 1.517473e-15 9.415483e-16
88 4.433911e-15 5.250548e-15 2.189980e-14 4.005107e-15 2.277389e-15 1.492067e-15 1.451842e-15 9.012798e-16
89 4.242432e-15 5.043532e-15 2.093896e-14 3.843450e-15 2.176976e-15 1.430801e-15 1.389785e-15 8.631887e-16
90 4.061283e-15 4.847397e-15 2.003064e-14 3.690346e-15 2.082045e-15 1.372775e-15 1.331070e-15 8.271344e-16
91 3.889750e-15 4.661454e-15 1.917113e-14 3.545249e-15 1.992232e-15 1.317788e-15 1.275485e-15 7.929898e-16
92 3.727240e-15 4.485063e-15 1.835755e-14 3.407654e-15 1.907215e-15 1.265650e-15 1.222824e-15 7.606319e-16
