Ls T E B
124 1.739834e-17 1.117266e-17 1.084791e-17
125 1.820175e-17 1.109594e-17 1.077107e-17
126 1.904232e-17 1.102017e-17 1.069519e-17
127 1.992165e-17 1.094534e-17 1.062023e-17
128 2.084151e-17 1.087142e-17 1.054620e-17
129 2.180390e-17 1.079841e-17 1.047307e-17
130 2.281085e-17 1.072628e-17 1.040083e-17
131 2.386411e-17 1.065502e-17 1.032945e-17
132 2.496611e-17 1.058461e-17 1.025893e-17
133 2.611899e-17 1.051505e-17 1.018925e-17
134 2.732518e-17 1.044630e-17 1.012040e-17
135 2.858697e-17 1.037837e-17 1.005238e-17
136 2.990704e-17 1.031124e-17 9.985151e-18
137 3.128810e-17 1.024487e-17 9.918716e-18
138 3.273284e-17 1.017929e-17 9.853049e-18
139 3.424435e-17 1.011445e-17 9.788163e-18
140 3.582572e-17 1.005037e-17 9.724030e-18
141 3.748006e-17 9.987022e-18 9.660638e-18
142 3.921086e-17 9.924384e-18 9.597972e-18
143 4.102149e-17 9.862459e-18 9.536020e-18
144 4.291572e-17 9.801221e-18 9.474796e-18
145 4.489759e-17 9.740682e-18 9.414271e-18
146 4.697086e-17 9.680804e-18 9.354419e-18
147 4.913985e-17 9.621598e-18 9.295267e-18
148 5.140899e-17 9.563052e-18 9.236775e-18
149 5.378287e-17 9.505152e-18 9.178943e-18
150 5.626646e-17 9.447872e-18 9.121756e-18
151 5.886475e-17 9.391237e-18 9.065216e-18
152 6.158299e-17 9.335209e-18 9.009309e-18
153 6.442669e-17 9.279786e-18 8.954020e-18
154 6.740178e-17 9.224955e-18 8.899352e-18
155 7.051431e-17 9.170717e-18 8.845288e-18
156 7.377048e-17 9.117058e-18 8.791831e-18
157 7.717703e-17 9.063978e-18 8.738953e-18
158 8.074081e-17 9.011463e-18 8.686666e-18
159 8.067929e-17 8.959499e-18 8.634946e-18
160 7.700054e-17 8.908075e-18 8.583777e-18
161 7.348953e-17 8.857202e-18 8.533187e-18
162 7.013859e-17 8.806855e-18 8.483135e-18
163 6.694044e-17 8.757032e-18 8.433622e-18
164 6.388808e-17 8.707734e-18 8.384648e-18
165 6.097505e-17 8.658935e-18 8.336212e-18
166 5.819475e-17 8.610647e-18 8.288274e-18
167 5.554113e-17 8.562857e-18 8.240861e-18
168 5.300867e-17 8.515552e-18 8.193959e-18
169 5.059158e-17 8.468731e-18 8.147543e-18
170 4.828475e-17 8.422382e-18 8.101624e-18
171 4.608318e-17 8.376503e-18 8.056190e-18
172 4.398191e-17 8.331096e-18 8.011240e-18
173 4.197635e-17 8.286133e-18 7.966749e-18
174 4.006233e-17 8.241628e-18 7.922728e-18
175 3.823568e-17 8.197567e-18 7.879165e-18
176 3.649222e-17 8.153937e-18 7.836060e-18
177 3.482833e-17 8.110751e-18 7.793399e-18
178 3.324022e-17 8.067983e-18 7.751169e-18
179 3.172454e-17 8.025631e-18 7.709383e-18
180 3.027792e-17 7.983697e-18 7.668015e-18
181 2.889740e-17 7.942181e-18 7.627064e-18
182 2.757974e-17 7.901068e-18 7.586543e-18
183 2.632213e-17 7.860346e-18 7.546427e-18
184 2.512200e-17 7.820014e-18 7.506714e-18
185 2.397652e-17 7.780072e-18 7.467405e-18
186 2.288314e-17 7.740521e-18 7.428473e-18
187 2.183984e-17 7.701347e-18 7.389945e-18
188 2.084393e-17 7.662536e-18 7.351794e-18
189 1.989352e-17 7.624102e-18 7.314020e-18
190 1.898645e-17 7.586018e-18 7.276622e-18
191 1.812071e-17 7.548311e-18 7.239575e-18
192 1.729442e-17 7.510941e-18 7.202905e-18
193 1.650582e-17 7.473921e-18 7.166585e-18
194 1.575330e-17 7.437250e-18 7.130628e-18
195 1.503497e-17 7.400917e-18 7.095007e-18
196 1.434935e-17 7.364919e-18 7.059724e-18
197 1.369510e-17 7.329259e-18 7.024790e-18
198 1.307064e-17 7.293908e-18 6.990179e-18
199 1.296969e-17 7.258893e-18 6.955905e-18
200 1.338024e-17 7.224188e-18 6.921954e-18
201 1.380374e-17 7.189806e-18 6.888313e-18
202 1.424071e-17 7.155721e-18 6.854994e-18
203 1.469155e-17 7.121945e-18 6.821986e-18
204 1.515653e-17 7.088478e-18 6.789287e-18
205 1.563631e-17 7.055308e-18 6.756884e-18
206 1.613131e-17 7.022421e-18 6.724791e-18
207 1.664192e-17 6.989829e-18 6.692980e-18
208 1.716868e-17 6.957534e-18 6.661466e-18
209 1.771214e-17 6.925508e-18 6.630247e-18
210 1.827283e-17 6.893765e-18 6.599298e-18
211 1.885129e-17 6.862304e-18 6.568646e-18
212 1.944793e-17 6.831113e-18 6.538249e-18
213 2.006354e-17 6.800191e-18 6.508134e-18
214 2.069867e-17 6.769525e-18 6.478289e-18
215 2.135387e-17 6.739128e-18 6.448713e-18
216 2.202979e-17 6.709000e-18 6.419393e-18
217 2.272712e-17 6.679114e-18 6.390329e-18
218 2.344653e-17 6.649485e-18 6.361534e-18
219 2.418868e-17 6.620111e-18 6.332981e-18
220 2.495440e-17 6.590979e-18 6.304670e-18
221 2.574434e-17 6.562090e-18 6.276616e-18
222 2.655919e-17 6.533443e-18 6.248803e-18
223 2.739989e-17 6.505024e-18 6.221220e-18
224 2.826725e-17 6.476849e-18 6.193892e-18
225 2.916206e-17 6.448902e-18 6.166780e-18
226 3.008515e-17 6.421183e-18 6.139910e-18
227 3.103744e-17 6.393708e-18 6.113269e-18
228 3.201990e-17 6.366434e-18 6.086843e-18
229 3.303358e-17 6.339389e-18 6.060646e-18
230 3.407917e-17 6.312573e-18 6.034664e-18
231 3.515787e-17 6.285958e-18 6.008912e-18
232 3.627077e-17 6.259559e-18 5.983361e-18
233 3.741894e-17 6.233376e-18 5.958039e-18
234 3.860346e-17 6.207408e-18 5.932905e-18
235 3.982540e-17 6.181642e-18 5.907987e-18
236 4.108597e-17 6.156064e-18 5.883285e-18
237 4.238653e-17 6.130702e-18 5.858771e-18
238 4.372828e-17 6.105541e-18 5.834458e-18
239 4.298599e-17 6.080570e-18 5.810348e-18
240 4.026439e-17 6.055800e-18 5.786440e-18
241 3.771510e-17 6.031218e-18 5.762706e-18
242 3.532722e-17 6.006825e-18 5.739175e-18
243 3.309052e-17 5.982634e-18 5.715832e-18
244 3.099544e-17 5.958618e-18 5.692677e-18
245 2.903296e-17 5.934790e-18 5.669698e-18
246 2.719487e-17 5.911138e-18 5.646907e-18
247 2.547295e-17 5.887673e-18 5.624304e-18
248 2.386021e-17 5.864371e-18 5.601863e-18
249 2.234951e-17 5.841270e-18 5.579610e-18
250 2.093453e-17 5.818317e-18 5.557533e-18
251 1.960906e-17 5.795553e-18 5.535617e-18
252 1.836760e-17 5.772964e-18 5.513876e-18
253 1.720463e-17 5.750537e-18 5.492310e-18
254 1.611542e-17 5.728271e-18 5.470905e-18
255 1.509501e-17 5.706180e-18 5.449662e-18
256 1.413934e-17 5.684250e-18 5.428594e-18
257 1.324410e-17 5.662482e-18 5.407674e-18
258 1.240557e-17 5.640876e-18 5.386916e-18
259 1.162013e-17 5.619417e-18 5.366319e-18
260 1.088442e-17 5.598121e-18 5.345884e-18
261 1.019529e-17 5.576985e-18 5.325597e-18
262 9.549792e-18 5.555998e-18 5.305458e-18
263 8.945162e-18 5.535172e-18 5.285480e-18
264 8.378805e-18 5.514481e-18 5.265651e-18
265 7.848311e-18 5.493952e-18 5.245956e-18
266 7.351403e-18 5.473571e-18 5.226423e-18
267 6.885970e-18 5.453324e-18 5.207024e-18
268 6.449992e-18 5.433239e-18 5.187774e-18
269 6.041624e-18 5.413288e-18 5.168671e-18
270 5.659103e-18 5.393472e-18 5.149703e-18
271 5.300800e-18 5.373804e-18 5.130870e-18
272 4.965194e-18 5.354271e-18 5.112185e-18
273 4.650831e-18 5.334872e-18 5.093621e-18
274 4.356364e-18 5.315622e-18 5.075205e-18
275 4.080543e-18 5.296492e-18 5.056924e-18
276 3.822195e-18 5.277511e-18 5.038763e-18
277 3.580203e-18 5.258651e-18 5.020738e-18
278 3.353517e-18 5.239925e-18 5.002847e-18
279 3.340109e-18 5.221321e-18 4.985077e-18
280 3.537394e-18 5.202865e-18 4.967442e-18
281 3.746337e-18 5.184516e-18 4.949928e-18
282 3.967610e-18 5.166302e-18 4.932535e-18
283 4.201969e-18 5.148209e-18 4.915277e-18
284 4.450154e-18 5.130251e-18 4.898127e-18
285 4.713011e-18 5.112400e-18 4.881097e-18
286 4.991391e-18 5.094671e-18 4.864203e-18
287 5.286221e-18 5.077076e-18 4.847415e-18
288 5.598457e-18 5.059589e-18 4.830750e-18
289 5.929136e-18 5.042223e-18 4.814191e-18
290 6.279349e-18 5.024978e-18 4.797754e-18
291 6.650238e-18 5.007841e-18 4.781425e-18
292 7.043044e-18 4.990812e-18 4.765217e-18
293 7.459059e-18 4.973917e-18 4.749116e-18
294 7.899628e-18 4.957117e-18 4.733124e-18
295 8.366232e-18 4.940437e-18 4.717252e-18
296 8.860393e-18 4.923866e-18 4.701475e-18
297 9.383739e-18 4.907402e-18 4.685818e-18
298 9.938007e-18 4.891046e-18 4.670256e-18
299 1.052500e-17 4.874797e-18 4.654802e-18
300 1.114667e-17 4.858656e-18 4.639455e-18
301 1.180507e-17 4.842623e-18 4.624203e-18
302 1.250236e-17 4.826698e-18 4.609072e-18
303 1.324083e-17 4.810866e-18 4.594021e-18
304 1.402290e-17 4.795143e-18 4.579092e-18
305 1.485121e-17 4.779513e-18 4.564244e-18
306 1.572839e-17 4.763992e-18 4.549503e-18
307 1.665740e-17 4.748578e-18 4.534856e-18
308 1.764133e-17 4.733258e-18 4.520317e-18
309 1.868329e-17 4.718033e-18 4.505859e-18
310 1.978690e-17 4.702902e-18 4.491509e-18
311 2.095553e-17 4.687865e-18 4.477239e-18
312 2.219335e-17 4.672935e-18 4.463077e-18
313 2.350428e-17 4.658087e-18 4.448996e-18
314 2.489261e-17 4.643346e-18 4.435009e-18
315 2.636292e-17 4.628686e-18 4.421116e-18
316 2.792006e-17 4.614134e-18 4.407318e-18
317 2.956915e-17 4.599662e-18 4.393600e-18
318 3.131570e-17 4.585285e-18 4.379977e-18
319 3.195891e-17 4.570988e-18 4.366434e-18
320 3.142905e-17 4.556786e-18 4.352985e-18
321 3.090794e-17 4.542678e-18 4.339618e-18
322 3.039544e-17 4.528650e-18 4.326344e-18
323 2.989143e-17 4.514717e-18 4.313151e-18
324 2.939589e-17 4.500865e-18 4.300040e-18
325 2.890844e-17 4.487107e-18 4.287008e-18
326 2.842906e-17 4.473429e-18 4.274058e-18
327 2.795776e-17 4.459819e-18 4.261202e-18
328 2.749413e-17 4.446317e-18 4.248413e-18
329 2.703831e-17 4.432882e-18 4.235705e-18
330 2.659002e-17 4.419528e-18 4.223091e-18
331 2.614914e-17 4.406268e-18 4.210545e-18
332 2.571553e-17 4.393075e-18 4.198079e-18
333 2.528920e-17 4.379977e-18 4.185680e-18
334 2.486986e-17 4.366945e-18 4.173376e-18
335 2.445738e-17 4.353995e-18 4.161139e-18
336 2.405191e-17 4.341125e-18 4.148970e-18
337 2.365317e-17 4.328323e-18 4.136894e-18
338 2.326088e-17 4.315615e-18 4.124873e-18
339 2.287520e-17 4.302974e-18 4.112932e-18
340 2.249598e-17 4.290401e-18 4.101072e-18
341 2.212295e-17 4.277908e-18 4.089279e-18
342 2.175611e-17 4.265496e-18 4.077554e-18
