Ls TT TE TB EE EB EB_gmv TEB_gmv
56 7.513495e-14 1.124813e-13 2.921367e-13 9.810309e-14 3.010723e-14 2.303724e-14 1.607481e-14
57 7.002190e-14 1.049922e-13 2.722828e-13 9.154217e-14 2.805720e-14 2.147517e-14 1.498553e-14
58 6.533750e-14 9.812585e-14 2.540926e-13 8.552771e-14 2.617911e-14 2.004389e-14 1.398743e-14
59 6.103936e-14 9.182075e-14 2.374014e-13 8.000577e-14 2.445592e-14 1.873045e-14 1.307148e-14
60 5.708985e-14 8.602250e-14 2.220632e-13 7.492855e-14 2.287254e-14 1.752339e-14 1.222969e-14
61 5.345547e-14 8.068277e-14 2.079485e-13 7.025353e-14 2.141557e-14 1.641250e-14 1.145496e-14
62 5.010658e-14 7.575840e-14 1.949416e-13 6.594292e-14 2.007307e-14 1.538873e-14 1.074096e-14
63 4.701661e-14 7.121107e-14 1.829399e-13 6.196300e-14 1.883441e-14 1.444398e-14 1.008206e-14
64 4.416187e-14 6.700644e-14 1.718513e-13 5.828362e-14 1.769009e-14 1.357104e-14 9.473228e-15
65 4.152121e-14 6.311380e-14 1.615936e-13 5.487783e-14 1.663161e-14 1.276344e-14 8.909951e-15
66 3.907560e-14 5.950559e-14 1.520931e-13 5.172145e-14 1.565135e-14 1.201539e-14 8.388194e-15
67 3.680800e-14 5.615705e-14 1.432837e-13 4.879276e-14 1.474247e-14 1.132168e-14 7.904328e-15
68 3.470304e-14 5.304598e-14 1.351057e-13 4.607221e-14 1.389881e-14 1.067764e-14 7.455092e-15
69 3.274692e-14 5.015229e-14 1.275056e-13 4.354222e-14 1.311484e-14 1.007905e-14 7.037545e-15
70 3.092720e-14 4.745788e-14 1.204349e-13 4.118689e-14 1.238554e-14 9.522097e-15 6.649038e-15
71 2.923256e-14 4.494637e-14 1.138499e-13 3.899185e-14 1.170641e-14 9.003357e-15 6.287172e-15
72 2.765284e-14 4.260298e-14 1.077111e-13 3.694411e-14 1.107335e-14 8.519715e-15 5.949781e-15
73 2.617878e-14 4.041426e-14 1.019826e-13 3.503190e-14 1.048266e-14 8.068352e-15 5.634900e-15
74 2.480202e-14 3.836805e-14 9.663191e-14 3.324452e-14 9.930974e-15 7.646710e-15 5.340743e-15
75 2.351493e-14 3.645324e-14 9.162938e-14 3.157225e-14 9.415243e-15 7.252466e-15 5.065694e-15
76 2.231060e-14 3.465975e-14 8.694815e-14 3.000624e-14 8.932684e-15 6.883504e-15 4.808275e-15
77 2.118269e-14 3.297842e-14 8.256376e-14 2.853845e-14 8.480767e-15 6.537900e-15 4.567144e-15
78 2.012546e-14 3.140084e-14 7.845382e-14 2.716150e-14 8.057184e-15 6.213895e-15 4.341077e-15
79 1.913365e-14 2.991937e-14 7.459794e-14 2.586869e-14 7.659826e-15 5.909885e-15 4.128954e-15
80 1.820246e-14 2.852699e-14 7.097747e-14 2.465388e-14 7.286766e-15 5.624402e-15 3.929753e-15
81 1.732748e-14 2.721729e-14 6.757533e-14 2.351144e-14 6.936240e-15 5.356105e-15 3.742536e-15
82 1.650469e-14 2.598440e-14 6.437587e-14 2.243621e-14 6.606632e-15 5.103763e-15 3.566448e-15
83 1.573038e-14 2.482292e-14 6.136473e-14 2.142347e-14 6.296459e-15 4.866246e-15 3.400700e-15
84 1.500117e-14 2.372789e-14 5.852876e-14 2.046888e-14 6.004360e-15 4.642519e-15 3.244570e-15
85 1.431392e-14 2.269476e-14 5.585581e-14 1.956842e-14 5.729083e-15 4.431628e-15 3.097393e-15
86 1.366578e-14 2.171932e-14 5.333475e-14 1.871845e-14 5.469479e-15 4.232697e-15 2.958558e-15
87 1.305410e-14 2.079771e-14 5.095532e-14 1.791555e-14 5.224485e-15 4.044917e-15 2.827501e-15
88 1.247643e-14 1.992638e-14 4.870804e-14 1.715661e-14 4.993125e-15 3.867545e-15 2.703703e-15
89 1.193053e-14 1.910201e-14 4.658418e-14 1.643874e-14 4.774497e-15 3.699893e-15 2.586687e-15
90 1.141433e-14 1.832159e-14 4.457568e-14 1.575929e-14 4.567767e-15 3.541327e-15 2.476007e-15
91 1.092589e-14 1.758228e-14 4.267507e-14 1.511577e-14 4.372166e-15 3.391260e-15 2.371257e-15
92 1.046344e-14 1.688149e-14 4.087547e-14 1.450592e-14 4.186980e-15 3.249148e-15 2.272056e-15
93 1.002535e-14 1.621681e-14 3.917046e-14 1.392761e-14 4.011551e-15 3.114489e-15 2.178054e-15
94 9.610070e-15 1.558600e-14 3.755413e-14 1.337890e-14 3.845267e-15 2.986817e-15 2.088927e-15
95 9.216199e-15 1.498697e-14 3.602099e-14 1.285796e-14 3.687559e-15 2.865700e-15 2.004372e-15
96 8.842421e-15 1.441781e-14 3.456593e-14 1.236310e-14 3.537903e-15 2.750735e-15 1.924110e-15
97 8.487515e-15 1.387671e-14 3.318423e-14 1.189276e-14 3.395808e-15 2.641550e-15 1.847880e-15
98 8.150346e-15 1.336202e-14 3.187146e-14 1.144547e-14 3.260819e-15 2.537799e-15 1.775441e-15
99 7.829860e-15 1.287218e-14 3.062353e-14 1.101987e-14 3.132515e-15 2.439158e-15 1.706567e-15
100 7.525076e-15 1.240574e-14 2.943662e-14 1.061471e-14 3.010499e-15 2.345327e-15 1.641050e-15
101 7.235071e-15 1.196135e-14 2.830718e-14 1.022879e-14 2.894406e-15 2.256026e-15 1.578693e-15
102 6.958995e-15 1.153777e-14 2.723188e-14 9.861023e-15 2.783893e-15 2.170994e-15 1.519314e-15
103 6.696051e-15 1.113380e-14 2.620763e-14 9.510372e-15 2.678640e-15 2.089986e-15 1.462744e-15
104 6.445494e-15 1.074836e-14 2.523154e-14 9.175885e-15 2.578349e-15 2.012776e-15 1.408824e-15
105 6.206625e-15 1.038042e-14 2.430091e-14 8.856662e-15 2.482742e-15 1.939150e-15 1.357405e-15
106 5.978802e-15 1.002902e-14 2.341321e-14 8.551865e-15 2.391556e-15 1.868910e-15 1.308348e-15
107 5.761409e-15 9.693264e-15 2.256607e-14 8.260700e-15 2.304550e-15 1.801869e-15 1.261524e-15
108 5.553880e-15 9.372301e-15 2.175729e-14 7.982442e-15 2.221494e-15 1.737854e-15 1.216812e-15
109 5.355678e-15 9.065352e-15 2.098479e-14 7.716391e-15 2.142175e-15 1.676700e-15 1.174096e-15
110 5.166306e-15 8.771671e-15 2.024663e-14 7.461908e-15 2.066392e-15 1.618256e-15 1.133271e-15
111 4.985294e-15 8.490568e-15 1.954098e-14 7.218385e-15 1.993957e-15 1.562377e-15 1.094237e-15
112 4.812201e-15 8.221387e-15 1.886614e-14 6.985246e-15 1.924693e-15 1.508928e-15 1.056899e-15
113 4.646613e-15 7.963517e-15 1.822049e-14 6.761962e-15 1.858436e-15 1.457783e-15 1.021169e-15
114 4.488144e-15 7.716383e-15 1.760254e-14 6.548027e-15 1.795029e-15 1.408824e-15 9.869635e-16
115 4.336428e-15 7.479445e-15 1.701086e-14 6.342969e-15 1.734326e-15 1.361938e-15 9.542059e-16
116 4.191121e-15 7.252190e-15 1.644411e-14 6.146342e-15 1.676189e-15 1.317020e-15 9.228219e-16
117 4.051898e-15 7.034137e-15 1.590103e-14 5.957725e-15 1.620490e-15 1.273972e-15 8.927425e-16
118 3.918456e-15 6.824838e-15 1.538046e-14 5.776724e-15 1.567105e-15 1.232699e-15 8.639032e-16
119 3.790511e-15 6.623863e-15 1.488127e-14 5.602968e-15 1.515921e-15 1.193115e-15 8.362422e-16
120 3.667789e-15 6.430810e-15 1.440242e-14 5.436105e-15 1.466828e-15 1.155137e-15 8.097020e-16
121 3.550037e-15 6.245302e-15 1.394290e-14 5.275803e-15 1.419725e-15 1.118686e-15 7.842280e-16
122 3.437016e-15 6.066979e-15 1.350179e-14 5.121751e-15 1.374516e-15 1.083688e-15 7.597691e-16
123 3.328495e-15 5.895504e-15 1.307821e-14 4.973652e-15 1.331109e-15 1.050075e-15 7.362764e-16
124 3.224263e-15 5.730556e-15 1.267132e-14 4.831226e-15 1.289419e-15 1.017781e-15 7.137045e-16
125 3.124116e-15 5.571835e-15 1.228034e-14 4.694211e-15 1.249365e-15 9.867431e-16 6.920097e-16
126 3.027864e-15 5.419051e-15 1.190452e-14 4.562358e-15 1.210870e-15 9.569033e-16 6.711513e-16
127 2.935324e-15 5.271936e-15 1.154316e-14 4.435431e-15 1.173861e-15 9.282059e-16 6.510906e-16
128 2.846327e-15 5.130236e-15 1.119559e-14 4.313204e-15 1.138269e-15 9.005985e-16 6.317909e-16
129 2.760709e-15 4.993704e-15 1.086118e-14 4.195468e-15 1.104031e-15 8.740312e-16 6.132175e-16
130 2.678318e-15 4.862113e-15 1.053934e-14 4.082021e-15 1.071085e-15 8.484573e-16 5.953376e-16
131 2.599006e-15 4.735243e-15 1.022950e-14 3.972675e-15 1.039371e-15 8.238319e-16 5.781201e-16
132 2.522640e-15 4.612890e-15 9.931126e-15 3.867247e-15 1.008836e-15 8.001128e-16 5.615355e-16
133 2.449085e-15 4.494857e-15 9.643705e-15 3.765569e-15 9.794258e-16 7.772601e-16 5.455558e-16
134 2.378219e-15 4.380957e-15 9.366761e-15 3.667476e-15 9.510921e-16 7.552357e-16 5.301545e-16
135 2.309923e-15 4.271014e-15 9.099833e-15 3.572815e-15 9.237874e-16 7.340034e-16 5.153065e-16
136 2.244087e-15 4.164861e-15 8.842487e-15 3.481441e-15 8.974670e-16 7.135291e-16 5.009878e-16
137 2.180604e-15 4.062336e-15 8.594314e-15 3.393214e-15 8.720885e-16 6.937802e-16 4.871757e-16
138 2.119375e-15 3.963289e-15 8.354920e-15 3.308001e-15 8.476114e-16 6.747260e-16 4.738487e-16
139 2.060302e-15 3.867576e-15 8.123932e-15 3.225678e-15 8.239976e-16 6.563368e-16 4.609861e-16
140 2.003296e-15 3.775059e-15 7.900999e-15 3.146125e-15 8.012105e-16 6.385848e-16 4.485687e-16
141 1.948268e-15 3.685608e-15 7.685781e-15 3.069226e-15 7.792156e-16 6.214435e-16 4.365778e-16
142 1.895138e-15 3.599099e-15 7.477960e-15 2.994877e-15 7.579799e-16 6.048876e-16 4.249958e-16
143 1.843827e-15 3.515412e-15 7.277231e-15 2.922971e-15 7.374719e-16 5.888930e-16 4.138059e-16
144 1.794261e-15 3.434435e-15 7.083302e-15 2.853413e-15 7.176620e-16 5.734369e-16 4.029919e-16
145 1.746366e-15 3.356063e-15 6.895900e-15 2.786107e-15 6.985214e-16 5.584973e-16 3.925390e-16
146 1.700079e-15 3.280189e-15 6.714758e-15 2.720965e-15 6.800234e-16 5.440536e-16 3.824324e-16
147 1.655332e-15 3.206718e-15 6.539628e-15 2.657902e-15 6.621419e-16 5.300859e-16 3.726583e-16
148 1.612065e-15 3.135557e-15 6.370269e-15 2.596836e-15 6.448524e-16 5.165752e-16 3.632035e-16
149 1.570218e-15 3.066615e-15 6.206453e-15 2.537690e-15 6.281314e-16 5.035037e-16 3.540555e-16
150 1.529737e-15 2.999809e-15 6.047963e-15 2.480390e-15 6.119565e-16 4.908541e-16 3.452023e-16
151 1.490567e-15 2.935056e-15 5.894591e-15 2.424866e-15 5.963064e-16 4.786099e-16 3.366322e-16
152 1.452659e-15 2.872281e-15 5.746137e-15 2.371050e-15 5.811605e-16 4.667555e-16 3.283346e-16
153 1.415962e-15 2.811407e-15 5.602414e-15 2.318876e-15 5.664996e-16 4.552761e-16 3.202989e-16
154 1.380431e-15 2.752365e-15 5.463240e-15 2.268286e-15 5.523049e-16 4.441572e-16 3.125151e-16
155 1.346021e-15 2.695086e-15 5.328441e-15 2.219219e-15 5.385587e-16 4.333851e-16 3.049737e-16
156 1.312690e-15 2.639508e-15 5.197854e-15 2.171618e-15 5.252441e-16 4.229469e-16 2.976656e-16
157 1.280397e-15 2.585565e-15 5.071320e-15 2.125430e-15 5.123447e-16 4.128301e-16 2.905820e-16
158 1.249103e-15 2.533200e-15 4.948687e-15 2.080604e-15 4.998450e-16 4.030227e-16 2.837146e-16
159 1.218772e-15 2.482356e-15 4.829812e-15 2.037090e-15 4.877302e-16 3.935133e-16 2.770555e-16
160 1.189368e-15 2.432979e-15 4.714556e-15 1.994841e-15 4.759860e-16 3.842910e-16 2.705970e-16
161 1.160856e-15 2.385015e-15 4.602786e-15 1.953812e-15 4.645990e-16 3.753452e-16 2.643319e-16
162 1.133205e-15 2.338416e-15 4.494376e-15 1.913959e-15 4.535560e-16 3.666661e-16 2.582530e-16
163 1.106383e-15 2.293134e-15 4.389204e-15 1.875241e-15 4.428445e-16 3.582440e-16 2.523537e-16
164 1.080360e-15 2.249122e-15 4.287155e-15 1.837617e-15 4.324528e-16 3.500696e-16 2.466277e-16
165 1.055108e-15 2.206337e-15 4.188116e-15 1.801051e-15 4.223692e-16 3.421343e-16 2.410687e-16
166 1.030599e-15 2.164736e-15 4.091982e-15 1.765505e-15 4.125828e-16 3.344296e-16 2.356708e-16
167 1.006807e-15 2.124280e-15 3.998648e-15 1.730944e-15 4.030831e-16 3.269472e-16 2.304284e-16
168 9.837069e-16 2.084929e-15 3.908019e-15 1.697334e-15 3.938600e-16 3.196796e-16 2.253361e-16
169 9.612746e-16 2.046645e-15 3.819998e-15 1.664643e-15 3.849039e-16 3.126191e-16 2.203886e-16
170 9.394864e-16 2.009394e-15 3.734496e-15 1.632840e-15 3.762055e-16 3.057588e-16 2.155810e-16
171 9.183205e-16 1.973140e-15 3.651426e-15 1.601896e-15 3.677558e-16 2.990918e-16 2.109085e-16
172 8.977558e-16 1.937850e-15 3.570705e-15 1.571780e-15 3.595464e-16 2.926113e-16 2.063665e-16
173 8.777716e-16 1.903494e-15 3.492254e-15 1.542467e-15 3.515691e-16 2.863112e-16 2.019505e-16
174 8.583475e-16 1.870040e-15 3.415994e-15 1.513930e-15 3.438158e-16 2.801853e-16 1.976564e-16
175 8.394659e-16 1.837459e-15 3.341853e-15 1.486143e-15 3.362792e-16 2.742279e-16 1.934800e-16
