Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter
44 9.522887e-14 1.000938e-13 2.269315e-12 9.247379e-14 2.369332e-13 3.175823e-14 6.651380e-14 2.799276e-14 1.978291e-14
45 8.709221e-14 9.171933e-14 2.074407e-12 8.470934e-14 2.165765e-13 2.907807e-14 6.089252e-14 2.562531e-14 1.813418e-14
46 7.980871e-14 8.421651e-14 1.899996e-12 7.775411e-14 1.983606e-13 2.667774e-14 5.585849e-14 2.350524e-14 1.665560e-14
47 7.327387e-14 7.747819e-14 1.743547e-12 7.150854e-14 1.820209e-13 2.452281e-14 5.133940e-14 2.160210e-14 1.532645e-14
48 6.739652e-14 7.141229e-14 1.602887e-12 6.588710e-14 1.673303e-13 2.258366e-14 4.727309e-14 1.988970e-14 1.412890e-14
49 6.209924e-14 6.593944e-14 1.476140e-12 6.081609e-14 1.540929e-13 2.083479e-14 4.360603e-14 1.834548e-14 1.304756e-14
50 5.731421e-14 6.099102e-14 1.361688e-12 5.623177e-14 1.421396e-13 1.925413e-14 4.029191e-14 1.694994e-14 1.206909e-14
51 5.298322e-14 5.650753e-14 1.258125e-12 5.207887e-14 1.313238e-13 1.782253e-14 3.729060e-14 1.568612e-14 1.118194e-14
52 4.905556e-14 5.243718e-14 1.164232e-12 4.830931e-14 1.215179e-13 1.652353e-14 3.456717e-14 1.453948e-14 1.037600e-14
53 4.548668e-14 4.873486e-14 1.078945e-12 4.488117e-14 1.126109e-13 1.534193e-14 3.209120e-14 1.349663e-14 9.642490e-15
54 4.223807e-14 4.536107e-14 1.001335e-12 4.175780e-14 1.045057e-13 1.426801e-14 2.983607e-14 1.254867e-14 8.973687e-15
55 3.928670e-14 4.228122e-14 9.305866e-13 3.890707e-14 9.711717e-14 1.329011e-14 2.777846e-14 1.168533e-14 8.362831e-15
56 3.660409e-14 3.946488e-14 8.659846e-13 3.630072e-14 9.037060e-14 1.239380e-14 2.589788e-14 1.089438e-14 7.803968e-15
57 3.413693e-14 3.688525e-14 8.068990e-13 3.391389e-14 8.420020e-14 1.157295e-14 2.417625e-14 1.017014e-14 7.291849e-15
58 3.187238e-14 3.451868e-14 7.527738e-13 3.172460e-14 7.854787e-14 1.081990e-14 2.259766e-14 9.505821e-15 6.821833e-15
59 2.979201e-14 3.234423e-14 7.031176e-13 2.971343e-14 7.336231e-14 1.012814e-14 2.114800e-14 8.895667e-15 6.389810e-15
60 2.787974e-14 3.034334e-14 6.574946e-13 2.786313e-14 6.859799e-14 9.491770e-15 1.981477e-14 8.334446e-15 5.992132e-15
61 2.611842e-14 2.849950e-14 6.155181e-13 2.615841e-14 6.421452e-14 8.905543e-15 1.858687e-14 7.817519e-15 5.625553e-15
62 2.449479e-14 2.679802e-14 5.768437e-13 2.458562e-14 6.017592e-14 8.364780e-15 1.745440e-14 7.340746e-15 5.287182e-15
63 2.299534e-14 2.522580e-14 5.411644e-13 2.313259e-14 5.645013e-14 7.865295e-15 1.640856e-14 6.900426e-15 4.974437e-15
64 2.161012e-14 2.377112e-14 5.082057e-13 2.178847e-14 5.300850e-14 7.403341e-15 1.544146e-14 6.493246e-15 4.685007e-15
65 2.032780e-14 2.242350e-14 4.777225e-13 2.054352e-14 4.982542e-14 6.975568e-15 1.454604e-14 6.116247e-15 4.416823e-15
66 1.913982e-14 2.117352e-14 4.494952e-13 1.938902e-14 4.687793e-14 6.578965e-15 1.371599e-14 5.766764e-15 4.168027e-15
67 1.803792e-14 2.001273e-14 4.233263e-13 1.831711e-14 4.414541e-14 6.210830e-15 1.294563e-14 5.442412e-15 3.936949e-15
68 1.701472e-14 1.893353e-14 3.990378e-13 1.732076e-14 4.160930e-14 5.868730e-15 1.222983e-14 5.141039e-15 3.722084e-15
69 1.606341e-14 1.792905e-14 3.764700e-13 1.639359e-14 3.925290e-14 5.550470e-15 1.156400e-14 4.860708e-15 3.522075e-15
70 1.517830e-14 1.699310e-14 3.554785e-13 1.552987e-14 3.706113e-14 5.254071e-15 1.094398e-14 4.599667e-15 3.335697e-15
71 1.435366e-14 1.612009e-14 3.359331e-13 1.472441e-14 3.502039e-14 4.977740e-15 1.036600e-14 4.356335e-15 3.161840e-15
72 1.358485e-14 1.530494e-14 3.177158e-13 1.397249e-14 3.311834e-14 4.719855e-15 9.826665e-15 4.129279e-15 2.999500e-15
73 1.286720e-14 1.454306e-14 3.007197e-13 1.326988e-14 3.134384e-14 4.478947e-15 9.322892e-15 3.917199e-15 2.847765e-15
74 1.219660e-14 1.383027e-14 2.848476e-13 1.261268e-14 2.968674e-14 4.253679e-15 8.851878e-15 3.718917e-15 2.705806e-15
75 1.156961e-14 1.316279e-14 2.700115e-13 1.199739e-14 2.813784e-14 4.042837e-15 8.411079e-15 3.533360e-15 2.572872e-15
76 1.098270e-14 1.253715e-14 2.561314e-13 1.142080e-14 2.668877e-14 3.845317e-15 7.998177e-15 3.359551e-15 2.448274e-15
77 1.043287e-14 1.195020e-14 2.431342e-13 1.087999e-14 2.533191e-14 3.660111e-15 7.611061e-15 3.196604e-15 2.331388e-15
78 9.917399e-15 1.139907e-14 2.309533e-13 1.037231e-14 2.406031e-14 3.486303e-15 7.247806e-15 3.043706e-15 2.221642e-15
79 9.433635e-15 1.088114e-14 2.195278e-13 9.895308e-15 2.286760e-14 3.323045e-15 6.906650e-15 2.900112e-15 2.118513e-15
80 8.979290e-15 1.039399e-14 2.088020e-13 9.446766e-15 2.174799e-14 3.169594e-15 6.585984e-15 2.765161e-15 2.021524e-15
81 8.552247e-15 9.935432e-15 1.987255e-13 9.024645e-15 2.069616e-14 3.025169e-15 6.284336e-15 2.638175e-15 1.930236e-15
82 8.152006e-15 9.503439e-15 1.892514e-13 8.627073e-15 1.970726e-14 2.889431e-15 6.000352e-15 2.518816e-15 1.844246e-15
83 7.780407e-15 9.096161e-15 1.803370e-13 8.252335e-15 1.877680e-14 2.762089e-15 5.732793e-15 2.406789e-15 1.763187e-15
84 7.426767e-15 8.711894e-15 1.719428e-13 7.898853e-15 1.790069e-14 2.641620e-15 5.480521e-15 2.300871e-15 1.686719e-15
85 7.092280e-15 8.349070e-15 1.640331e-13 7.565177e-15 1.707517e-14 2.527829e-15 5.242487e-15 2.200854e-15 1.614528e-15
86 6.776276e-15 8.006248e-15 1.565747e-13 7.249970e-15 1.629678e-14 2.420318e-15 5.017727e-15 2.106377e-15 1.546329e-15
87 6.477787e-15 7.682098e-15 1.495368e-13 6.952003e-15 1.556230e-14 2.318688e-15 4.805352e-15 2.017086e-15 1.481856e-15
88 6.195795e-15 7.375391e-15 1.428912e-13 6.670137e-15 1.486881e-14 2.222556e-15 4.604542e-15 1.932643e-15 1.420863e-15
89 5.928780e-15 7.084996e-15 1.366121e-13 6.403325e-15 1.421358e-14 2.131572e-15 4.414541e-15 1.852735e-15 1.363125e-15
90 5.676174e-15 6.809863e-15 1.306754e-13 6.150599e-15 1.359412e-14 2.045406e-15 4.234650e-15 1.777073e-15 1.308434e-15
91 5.437013e-15 6.549025e-15 1.250589e-13 5.911059e-15 1.300810e-14 1.963753e-15 4.064221e-15 1.705387e-15 1.256594e-15
92 5.210456e-15 6.301583e-15 1.197420e-13 5.683877e-15 1.245337e-14 1.886331e-15 3.902656e-15 1.637427e-15 1.207428e-15
93 4.995727e-15 6.066707e-15 1.147060e-13 5.468282e-15 1.192796e-14 1.812876e-15 3.749399e-15 1.572960e-15 1.160769e-15
94 4.792090e-15 5.843623e-15 1.099330e-13 5.263560e-15 1.143003e-14 1.743144e-15 3.603937e-15 1.511771e-15 1.116463e-15
95 4.598651e-15 5.631616e-15 1.054066e-13 5.069050e-15 1.095785e-14 1.676907e-15 3.465792e-15 1.453659e-15 1.074367e-15
96 4.415195e-15 5.430019e-15 1.011117e-13 4.884136e-15 1.050986e-14 1.613954e-15 3.334520e-15 1.398439e-15 1.034348e-15
97 4.240746e-15 5.238213e-15 9.703447e-14 4.708243e-15 1.008458e-14 1.554090e-15 3.209709e-15 1.345937e-15 9.962819e-16
98 4.075083e-15 5.055624e-15 9.316140e-14 4.540842e-15 9.680633e-15 1.497132e-15 3.090975e-15 1.295992e-15 9.600542e-16
99 3.917420e-15 4.881713e-15 8.948048e-14 4.381435e-15 9.296755e-15 1.442910e-15 2.977962e-15 1.248455e-15 9.255575e-16
100 3.767411e-15 4.715981e-15 8.598048e-14 4.229561e-15 8.931762e-15 1.391265e-15 2.870337e-15 1.203184e-15 8.926918e-16
101 3.624712e-15 4.557961e-15 8.265072e-14 4.084788e-15 8.584547e-15 1.342050e-15 2.767790e-15 1.160051e-15 8.613639e-16
102 3.488742e-15 4.407218e-15 7.948121e-14 3.946714e-15 8.254078e-15 1.295126e-15 2.670031e-15 1.118934e-15 8.314867e-16
103 3.359157e-15 4.263347e-15 7.646305e-14 3.814964e-15 7.939399e-15 1.250364e-15 2.576789e-15 1.079717e-15 8.029790e-16
104 3.235696e-15 4.125965e-15 7.358745e-14 3.689186e-15 7.639610e-15 1.207644e-15 2.487814e-15 1.042296e-15 7.757648e-16
105 3.117888e-15 3.994719e-15 7.084632e-14 3.569053e-15 7.353870e-15 1.166853e-15 2.402869e-15 1.006571e-15 7.497731e-16
106 3.005481e-15 3.869275e-15 6.823236e-14 3.454256e-15 7.081402e-15 1.127887e-15 2.321732e-15 9.724506e-16 7.249372e-16
107 2.898171e-15 3.749322e-15 6.573845e-14 3.344508e-15 6.821468e-15 1.090642e-15 2.244197e-15 9.398429e-16 7.011950e-16
108 2.795675e-15 3.634568e-15 6.335788e-14 3.239539e-15 6.573381e-15 1.055039e-15 2.170070e-15 9.086774e-16 6.784880e-16
109 2.699072e-15 3.524739e-15 6.108479e-14 3.139098e-15 6.336503e-15 1.020955e-15 2.099170e-15 8.788500e-16 6.567614e-16
110 2.606790e-15 3.419578e-15 5.891318e-14 3.042945e-15 6.110228e-15 9.884391e-16 2.031327e-15 8.503858e-16 6.359640e-16
111 2.518029e-15 3.318844e-15 5.683777e-14 2.950859e-15 5.893992e-15 9.575220e-16 1.966380e-15 8.232968e-16 6.160474e-16
112 2.432845e-15 3.222311e-15 5.485349e-14 2.862632e-15 5.687266e-15 9.277318e-16 1.904180e-15 7.972237e-16 5.969663e-16
113 2.351238e-15 3.129765e-15 5.295541e-14 2.778065e-15 5.489549e-15 8.991659e-16 1.844586e-15 7.722292e-16 5.786783e-16
114 2.273021e-15 3.041005e-15 5.113919e-14 2.696975e-15 5.300376e-15 8.717643e-16 1.787465e-15 7.482598e-16 5.611431e-16
115 2.198060e-15 2.955845e-15 4.940069e-14 2.619188e-15 5.119308e-15 8.454704e-16 1.732692e-15 7.252655e-16 5.443231e-16
116 2.126095e-15 2.874106e-15 4.773575e-14 2.544540e-15 4.945929e-15 8.202383e-16 1.680150e-15 7.032044e-16 5.281828e-16
117 2.057233e-15 2.795621e-15 4.614080e-14 2.472876e-15 4.779851e-15 7.960141e-16 1.629729e-15 6.820293e-16 5.126888e-16
118 1.991057e-15 2.720232e-15 4.461231e-14 2.404052e-15 4.620709e-15 7.727514e-16 1.581324e-15 6.616987e-16 4.978095e-16
119 1.927577e-15 2.647791e-15 4.314691e-14 2.337930e-15 4.468157e-15 7.504040e-16 1.534838e-15 6.421720e-16 4.835154e-16
120 1.866657e-15 2.578158e-15 4.174159e-14 2.274382e-15 4.321871e-15 7.289282e-16 1.490177e-15 6.234106e-16 4.697782e-16
121 1.808156e-15 2.511200e-15 4.039333e-14 2.213284e-15 4.181542e-15 7.082835e-16 1.447255e-15 6.053788e-16 4.565715e-16
122 1.751975e-15 2.446792e-15 3.909942e-14 2.154523e-15 4.046884e-15 6.884307e-16 1.405988e-15 5.880420e-16 4.438704e-16
123 1.698001e-15 2.384817e-15 3.785723e-14 2.097988e-15 3.917622e-15 6.693327e-16 1.366299e-15 5.713674e-16 4.316512e-16
124 1.646140e-15 2.325161e-15 3.666425e-14 2.043578e-15 3.793499e-15 6.509548e-16 1.328115e-15 5.553246e-16 4.198916e-16
125 1.596189e-15 2.267721e-15 3.551823e-14 1.991194e-15 3.674272e-15 6.332639e-16 1.291366e-15 5.398844e-16 4.085705e-16
126 1.548238e-15 2.212395e-15 3.441691e-14 1.940745e-15 3.559710e-15 6.162287e-16 1.255985e-15 5.250193e-16 3.976678e-16
127 1.502111e-15 2.159089e-15 3.335819e-14 1.892143e-15 3.449595e-15 5.998196e-16 1.221911e-15 5.107031e-16 3.871647e-16
128 1.457651e-15 2.107714e-15 3.234023e-14 1.845306e-15 3.343724e-15 5.840088e-16 1.189084e-15 4.969115e-16 3.770433e-16
129 1.414922e-15 2.058185e-15 3.136094e-14 1.800155e-15 3.241897e-15 5.687695e-16 1.157449e-15 4.836207e-16 3.672866e-16
130 1.373766e-15 2.010420e-15 3.041877e-14 1.756617e-15 3.143935e-15 5.540762e-16 1.126953e-15 4.708084e-16 3.578784e-16
131 1.334096e-15 1.964344e-15 2.951195e-14 1.714622e-15 3.049661e-15 5.399049e-16 1.097545e-15 4.584537e-16 3.488036e-16
132 1.295900e-15 1.919884e-15 2.863884e-14 1.674101e-15 2.958909e-15 5.262336e-16 1.069178e-15 4.465368e-16 3.400476e-16
133 1.259084e-15 1.876972e-15 2.779812e-14 1.634993e-15 2.871524e-15 5.130402e-16 1.041807e-15 4.350386e-16 3.315967e-16
134 1.223601e-15 1.835542e-15 2.698812e-14 1.597237e-15 2.787353e-15 5.003016e-16 1.015389e-15 4.239392e-16 3.234379e-16
135 1.189417e-15 1.795533e-15 2.620774e-14 1.560776e-15 2.706261e-15 4.880087e-16 9.898829e-16 4.132288e-16 3.155587e-16
136 1.157339e-15 1.756884e-15 2.545550e-14 1.525556e-15 2.628108e-15 4.761309e-16 9.652502e-16 4.028825e-16 3.079474e-16
137 1.125926e-15 1.719540e-15 2.473029e-14 1.491524e-15 2.552771e-15 4.646377e-16 9.414544e-16 3.928757e-16 3.005928e-16
138 1.095547e-15 1.683449e-15 2.403089e-14 1.458633e-15 2.480126e-15 4.536464e-16 9.184604e-16 3.832894e-16 2.934842e-16
139 1.066102e-15 1.648558e-15 2.335625e-14 1.426835e-15 2.410061e-15 4.430745e-16 8.962348e-16 3.740619e-16 2.866116e-16
140 1.037628e-15 1.614820e-15 2.270531e-14 1.396086e-15 2.342465e-15 4.327584e-16 8.747461e-16 3.650738e-16 2.799652e-16
141 1.010048e-15 1.582189e-15 2.207704e-14 1.366344e-15 2.277234e-15 4.227662e-16 8.539642e-16 3.563717e-16 2.735359e-16
142 9.834196e-16 1.550621e-15 2.147059e-14 1.337568e-15 2.214271e-15 4.131028e-16 8.338604e-16 3.479566e-16 2.673149e-16
143 9.576791e-16 1.520075e-15 2.088491e-14 1.309720e-15 2.153479e-15 4.037399e-16 8.144074e-16 3.398063e-16 2.612940e-16
144 9.327342e-16 1.490509e-15 2.031933e-14 1.282764e-15 2.094773e-15 3.946725e-16 7.955793e-16 3.319153e-16 2.554652e-16
145 9.086770e-16 1.461888e-15 1.977283e-14 1.256663e-15 2.038062e-15 3.858906e-16 7.773511e-16 3.242743e-16 2.498208e-16
146 8.853433e-16 1.434174e-15 1.924482e-14 1.231386e-15 1.983271e-15 3.773824e-16 7.596993e-16 3.168732e-16 2.443538e-16
147 8.627901e-16 1.407333e-15 1.873443e-14 1.206901e-15 1.930319e-15 3.691382e-16 7.426013e-16 3.097032e-16 2.390571e-16
148 8.409439e-16 1.381332e-15 1.824102e-14 1.183177e-15 1.879132e-15 3.611480e-16 7.260358e-16 3.027556e-16 2.339243e-16
149 8.198108e-16 1.356139e-15 1.776388e-14 1.160185e-15 1.829642e-15 3.534023e-16 7.099819e-16 2.960219e-16 2.289490e-16
150 7.993500e-16 1.331725e-15 1.730240e-14 1.137897e-15 1.781780e-15 3.458919e-16 6.944202e-16 2.894940e-16 2.241253e-16
151 7.795298e-16 1.308061e-15 1.685595e-14 1.116288e-15 1.735483e-15 3.386082e-16 6.793319e-16 2.831644e-16 2.194474e-16
