Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
40 2.937481e-13 4.107713e-13 1.112547e-12 3.618295e-13 1.159832e-13 1.172863e-13 8.782967e-14 5.821537e-14 4.751623e-14 4.609868e-14
41 2.662036e-13 3.726497e-13 1.008225e-12 3.281765e-13 1.050969e-13 1.063449e-13 7.960408e-14 5.276737e-14 4.311835e-14 4.183235e-14
42 2.418177e-13 3.388830e-13 9.158695e-13 2.983711e-13 9.545984e-14 9.665555e-14 7.232153e-14 4.794421e-14 3.921983e-14 3.805043e-14
43 2.201653e-13 3.088861e-13 8.338691e-13 2.718964e-13 8.690379e-14 8.805005e-14 6.585511e-14 4.366134e-14 3.575345e-14 3.468771e-14
44 2.008864e-13 2.821638e-13 7.608605e-13 2.483145e-13 7.928638e-14 8.038587e-14 6.009739e-14 3.984731e-14 3.266344e-14 3.169009e-14
45 1.836753e-13 2.582952e-13 6.956853e-13 2.272533e-13 7.248666e-14 7.354191e-14 5.495708e-14 3.644242e-14 2.990129e-14 2.901051e-14
46 1.682619e-13 2.369213e-13 6.373556e-13 2.083957e-13 6.640149e-14 6.741490e-14 5.035636e-14 3.339450e-14 2.742644e-14 2.660964e-14
47 1.544428e-13 2.177346e-13 5.850258e-13 1.914700e-13 6.094257e-14 6.191640e-14 4.622857e-14 3.065977e-14 2.520340e-14 2.445303e-14
48 1.420082e-13 2.004712e-13 5.379697e-13 1.762427e-13 5.603410e-14 5.697047e-14 4.251652e-14 2.820058e-14 2.320227e-14 2.251170e-14
49 1.308090e-13 1.849034e-13 4.955619e-13 1.625129e-13 5.161076e-14 5.251168e-14 3.917089e-14 2.598382e-14 2.139670e-14 2.076008e-14
50 1.206880e-13 1.708348e-13 4.572615e-13 1.501068e-13 4.761610e-14 4.848345e-14 3.614908e-14 2.398151e-14 1.976438e-14 1.917652e-14
51 1.115292e-13 1.580946e-13 4.225999e-13 1.388737e-13 4.400119e-14 4.483673e-14 3.341415e-14 2.216920e-14 1.828551e-14 1.774182e-14
52 1.032290e-13 1.465347e-13 3.911696e-13 1.286826e-13 4.072351e-14 4.152888e-14 3.093399e-14 2.052564e-14 1.694324e-14 1.643964e-14
53 9.568354e-14 1.360256e-13 3.626155e-13 1.194192e-13 3.774596e-14 3.852272e-14 2.868061e-14 1.903228e-14 1.572253e-14 1.525537e-14
54 8.881642e-14 1.264544e-13 3.366272e-13 1.109837e-13 3.503616e-14 3.578578e-14 2.662954e-14 1.767301e-14 1.461051e-14 1.417655e-14
55 8.255594e-14 1.177219e-13 3.129326e-13 1.032885e-13 3.256569e-14 3.329009e-14 2.475935e-14 1.643367e-14 1.359563e-14 1.319196e-14
56 7.684109e-14 1.097412e-13 2.912928e-13 9.625680e-14 3.030962e-14 3.101033e-14 2.305119e-14 1.530170e-14 1.266796e-14 1.229197e-14
57 7.161448e-14 1.024355e-13 2.714974e-13 8.982077e-14 2.824598e-14 2.892422e-14 2.148849e-14 1.426601e-14 1.181856e-14 1.146792e-14
