Ls TT TE TB EE EB EB_gmv TEB_gmv
56 3.116319e-14 2.478168e-14 3.374180e-13 1.421961e-14 6.760839e-15 4.582193e-15 3.698912e-15
57 2.905554e-14 2.315961e-14 3.143710e-13 1.327499e-14 6.299014e-15 4.271959e-15 3.449167e-15
58 2.712409e-14 2.167157e-14 2.932596e-13 1.240883e-14 5.875985e-15 3.987687e-15 3.220296e-15
59 2.535142e-14 2.030439e-14 2.738921e-13 1.161341e-14 5.487898e-15 3.726802e-15 3.010235e-15
60 2.372209e-14 1.904639e-14 2.560983e-13 1.088185e-14 5.131349e-15 3.487034e-15 2.817155e-15
61 2.222238e-14 1.788718e-14 2.397273e-13 1.020808e-14 4.803311e-15 3.266358e-15 2.639429e-15
62 2.084009e-14 1.681751e-14 2.246445e-13 9.586666e-15 4.501091e-15 3.062976e-15 2.475613e-15
63 1.956433e-14 1.582915e-14 2.107303e-13 9.012769e-15 4.222287e-15 2.875279e-15 2.324416e-15
64 1.838537e-14 1.491472e-14 1.978776e-13 8.482075e-15 3.964756e-15 2.701840e-15 2.184686e-15
65 1.729451e-14 1.406761e-14 1.859908e-13 7.990707e-15 3.726577e-15 2.541372e-15 2.055392e-15
66 1.628394e-14 1.328192e-14 1.749838e-13 7.535200e-15 3.506032e-15 2.392727e-15 1.935610e-15
67 1.534666e-14 1.255233e-14 1.647798e-13 7.112436e-15 3.301577e-15 2.254870e-15 1.824509e-15
68 1.447636e-14 1.187403e-14 1.553094e-13 6.719612e-15 3.111822e-15 2.126875e-15 1.721342e-15
69 1.366738e-14 1.124274e-14 1.465103e-13 6.354197e-15 2.935519e-15 2.007904e-15 1.625438e-15
70 1.291457e-14 1.065454e-14 1.383260e-13 6.013916e-15 2.771535e-15 1.897203e-15 1.536189e-15
71 1.221330e-14 1.010591e-14 1.307058e-13 5.696701e-15 2.618855e-15 1.794088e-15 1.453046e-15
72 1.155940e-14 9.593668e-15 1.236035e-13 5.400690e-15 2.476556e-15 1.697943e-15 1.375513e-15
73 1.094906e-14 9.114921e-15 1.169776e-13 5.124188e-15 2.343802e-15 1.608208e-15 1.303141e-15
74 1.037882e-14 8.667045e-15 1.107902e-13 4.865661e-15 2.219832e-15 1.524375e-15 1.235520e-15
75 9.845569e-15 8.247650e-15 1.050069e-13 4.623711e-15 2.103960e-15 1.445984e-15 1.172280e-15
76 9.346444e-15 7.854563e-15 9.959639e-14 4.397069e-15 1.995558e-15 1.372614e-15 1.113083e-15
77 8.878853e-15 7.485805e-15 9.453023e-14 4.184577e-15 1.894057e-15 1.303883e-15 1.057622e-15
78 8.440423e-15 7.139565e-15 8.978245e-14 3.985175e-15 1.798935e-15 1.239443e-15 1.005615e-15
79 8.028993e-15 6.814191e-15 8.532930e-14 3.797901e-15 1.709717e-15 1.178974e-15 9.568077e-16
80 7.642584e-15 6.508173e-15 8.114913e-14 3.621870e-15 1.625968e-15 1.122185e-15 9.109646e-16
81 7.279386e-15 6.220123e-15 7.722208e-14 3.456274e-15 1.547291e-15 1.068810e-15 8.678714e-16
82 6.937738e-15 5.948775e-15 7.352997e-14 3.300373e-15 1.473322e-15 1.018605e-15 8.273316e-16
83 6.616119e-15 5.692962e-15 7.005613e-14 3.153484e-15 1.403725e-15 9.713458e-16 7.891648e-16
84 6.313128e-15 5.451611e-15 6.678525e-14 3.014984e-15 1.338196e-15 9.268258e-16 7.532056e-16
85 6.027483e-15 5.223739e-15 6.370326e-14 2.884297e-15 1.276451e-15 8.848568e-16 7.193015e-16
86 5.757999e-15 5.008438e-15 6.079721e-14 2.760894e-15 1.218233e-15 8.452634e-16 6.873125e-16
87 5.503587e-15 4.804870e-15 5.805519e-14 2.644289e-15 1.163300e-15 8.078868e-16 6.571096e-16
88 5.263240e-15 4.612266e-15 5.546620e-14 2.534031e-15 1.111432e-15 7.725776e-16 6.285736e-16
89 5.036034e-15 4.429913e-15 5.302010e-14 2.429704e-15 1.062429e-15 7.392009e-16 6.015949e-16
90 4.821110e-15 4.257150e-15 5.070751e-14 2.330926e-15 1.016101e-15 7.076293e-16 5.760718e-16
91 4.617678e-15 4.093370e-15 4.851981e-14 2.237341e-15 9.722738e-16 6.777477e-16 5.519107e-16
92 4.425003e-15 3.938007e-15 4.644897e-14 2.148622e-15 9.307886e-16 6.494464e-16 5.290246e-16
93 4.242408e-15 3.790539e-15 4.448757e-14 2.064462e-15 8.914963e-16 6.226273e-16 5.073332e-16
94 4.069261e-15 3.650479e-15 4.262874e-14 1.984581e-15 8.542587e-16 5.971968e-16 4.867619e-16
95 3.904982e-15 3.517379e-15 4.086612e-14 1.908716e-15 8.189491e-16 5.730691e-16 4.672416e-16
96 3.749025e-15 3.390819e-15 3.919379e-14 1.836624e-15 7.854481e-16 5.501651e-16 4.487081e-16
97 3.600889e-15 3.270410e-15 3.760623e-14 1.768078e-15 7.536458e-16 5.284100e-16 4.311016e-16
98 3.460104e-15 3.155791e-15 3.609836e-14 1.702868e-15 7.234400e-16 5.077357e-16 4.143667e-16
99 3.326235e-15 3.046622e-15 3.466542e-14 1.640798e-15 6.947349e-16 4.880770e-16 3.984518e-16
100 3.198876e-15 2.942592e-15 3.330297e-14 1.581686e-15 6.674428e-16 4.693752e-16 3.833088e-16
101 3.077648e-15 2.843405e-15 3.200690e-14 1.525362e-15 6.414801e-16 4.515739e-16 3.688928e-16
