Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
49 4.238598e-14 3.716231e-14 8.210759e-14 2.214152e-14 7.543411e-15 1.042323e-14 5.626511e-15 4.376009e-15
50 3.911427e-14 3.436844e-14 7.573448e-14 2.045961e-14 6.958339e-15 9.630354e-15 5.192398e-15 4.039342e-15
51 3.615319e-14 3.183724e-14 6.996824e-14 1.893641e-14 6.428941e-15 8.912302e-15 4.799501e-15 3.734595e-15
52 3.346811e-14 2.953945e-14 6.474081e-14 1.755422e-14 5.948973e-15 8.260885e-15 4.443209e-15 3.458229e-15
53 3.102836e-14 2.744957e-14 5.999297e-14 1.629760e-14 5.513003e-15 7.668239e-15 4.119499e-15 3.207026e-15
54 2.880771e-14 2.554526e-14 5.567282e-14 1.515304e-14 5.116277e-15 7.130362e-15 3.824852e-15 2.978678e-15
55 2.679987e-14 2.380700e-14 5.173504e-14 1.410871e-14 4.754634e-15 6.641203e-15 3.556197e-15 2.770719e-15
56 2.498648e-14 2.221758e-14 4.813969e-14 1.315421e-14 4.424411e-15 6.192181e-15 3.310818e-15 2.580410e-15
57 2.330772e-14 2.076186e-14 4.485166e-14 1.228037e-14 4.122388e-15 5.780936e-15 3.086337e-15 2.406250e-15
58 2.176364e-14 1.942647e-14 4.183986e-14 1.147912e-14 3.845717e-15 5.403604e-15 2.880646e-15 2.246599e-15
59 2.034348e-14 1.819958e-14 3.907705e-14 1.074329e-14 3.591894e-15 5.056979e-15 2.691891e-15 2.100051e-15
60 1.903798e-14 1.707071e-14 3.653886e-14 1.006655e-14 3.358688e-15 4.738120e-15 2.518421e-15 1.965335e-15
61 1.783454e-14 1.603052e-14 3.420382e-14 9.443262e-15 3.144126e-15 4.444367e-15 2.358775e-15 1.841319e-15
62 1.672503e-14 1.507072e-14 3.205268e-14 8.868407e-15 2.946445e-15 4.173590e-15 2.211646e-15 1.727032e-15
63 1.569959e-14 1.418391e-14 3.006831e-14 8.337511e-15 2.764071e-15 3.923518e-15 2.075871e-15 1.621547e-15
64 1.475269e-14 1.336347e-14 2.823540e-14 7.846576e-15 2.595604e-15 3.692154e-15 1.950416e-15 1.524041e-15
65 1.387562e-14 1.260346e-14 2.654024e-14 7.392025e-15 2.439788e-15 3.477919e-15 1.834352e-15 1.433815e-15
66 1.306306e-14 1.189859e-14 2.497080e-14 6.970645e-15 2.295509e-15 3.279299e-15 1.726842e-15 1.350221e-15
67 1.230933e-14 1.124406e-14 2.351595e-14 6.579557e-15 2.161751e-15 3.094949e-15 1.627144e-15 1.272684e-15
68 1.160942e-14 1.063558e-14 2.216576e-14 6.216165e-15 2.037605e-15 2.923649e-15 1.534582e-15 1.200683e-15
69 1.095853e-14 1.006929e-14 2.091133e-14 5.878131e-15 1.922255e-15 2.764301e-15 1.448552e-15 1.133749e-15
70 1.035307e-14 9.541672e-15 1.974458e-14 5.563346e-15 1.814960e-15 2.615912e-15 1.368507e-15 1.071460e-15
71 9.788861e-15 9.049577e-15 1.865835e-14 5.269901e-15 1.715059e-15 2.477586e-15 1.293951e-15 1.013431e-15
72 9.262993e-15 8.590140e-15 1.764603e-14 4.996071e-15 1.621947e-15 2.348507e-15 1.224439e-15 9.593177e-16
73 8.772110e-15 8.160763e-15 1.670168e-14 4.740289e-15 1.535077e-15 2.227941e-15 1.159567e-15 9.088076e-16
74 8.313330e-15 7.759090e-15 1.581981e-14 4.501135e-15 1.453952e-15 2.115216e-15 1.098965e-15 8.616125e-16
75 7.884506e-15 7.382978e-15 1.499558e-14 4.277318e-15 1.378123e-15 2.009725e-15 1.042301e-15 8.174761e-16
76 7.483064e-15 7.030475e-15 1.422451e-14 4.067661e-15 1.307180e-15 1.910912e-15 9.892695e-16 7.761611e-16
77 7.106991e-15 6.699803e-15 1.350258e-14 3.871093e-15 1.240751e-15 1.818273e-15 9.395951e-16 7.374542e-16
78 6.754501e-15 6.389338e-15 1.282605e-14 3.686637e-15 1.178495e-15 1.731348e-15 8.930237e-16 7.011586e-16
79 6.423671e-15 6.097597e-15 1.219150e-14 3.513399e-15 1.120100e-15 1.649709e-15 8.493274e-16 6.670960e-16
80 6.112977e-15 5.823223e-15 1.159578e-14 3.350563e-15 1.065280e-15 1.572991e-15 8.082911e-16 6.351037e-16
81 5.820979e-15 5.564973e-15 1.103625e-14 3.197379e-15 1.013781e-15 1.500775e-15 7.697279e-16 6.050246e-16
82 5.548534e-15 5.321707e-15 1.051022e-14 3.053164e-15 9.653617e-16 1.433005e-15 7.334546e-16 5.767613e-16
83 5.299920e-15 5.092379e-15 1.001527e-14 2.917286e-15 9.198024e-16 1.369649e-15 6.993129e-16 5.502325e-16
