Ls TT TE TB EE EB EB_gmv TEB_gmv
56 7.220006e-14 9.252464e-14 1.509640e-13 6.975056e-14 1.450672e-14 1.200907e-14 9.695927e-15
57 6.728696e-14 8.636293e-14 1.406981e-13 6.507669e-14 1.351855e-14 1.119333e-14 9.037816e-15
58 6.278576e-14 8.071364e-14 1.312928e-13 6.079242e-14 1.261327e-14 1.044594e-14 8.434830e-15
59 5.865568e-14 7.552618e-14 1.226627e-13 5.685921e-14 1.178267e-14 9.760125e-15 7.881508e-15
60 5.486056e-14 7.075577e-14 1.147325e-13 5.324302e-14 1.101947e-14 9.129898e-15 7.373022e-15
61 5.136826e-14 6.636260e-14 1.074349e-13 4.991356e-14 1.031721e-14 8.549929e-15 6.905068e-15
62 4.815026e-14 6.231123e-14 1.007103e-13 4.684382e-14 9.670143e-15 8.015478e-15 6.473830e-15
63 4.518104e-14 5.857004e-14 9.450546e-14 4.400978e-14 9.073134e-15 7.522319e-15 6.075896e-15
64 4.243789e-14 5.511084e-14 8.877292e-14 4.138994e-14 8.521602e-15 7.066674e-15 5.708222e-15
65 3.990038e-14 5.190832e-14 8.347009e-14 3.896509e-14 8.011453e-15 6.645168e-15 5.368083e-15
66 3.755033e-14 4.893985e-14 7.855884e-14 3.671798e-14 7.539012e-15 6.254769e-15 5.053039e-15
67 3.537131e-14 4.618504e-14 7.400492e-14 3.463313e-14 7.100981e-15 5.892762e-15 4.760892e-15
68 3.334859e-14 4.362559e-14 6.977757e-14 3.269659e-14 6.694390e-15 5.556698e-15 4.489676e-15
69 3.146889e-14 4.124501e-14 6.584900e-14 3.089583e-14 6.316571e-15 5.244373e-15 4.237609e-15
70 2.972023e-14 3.902839e-14 6.219422e-14 2.921953e-14 5.965110e-15 4.953801e-15 4.003090e-15
71 2.809177e-14 3.696225e-14 5.879062e-14 2.765744e-14 5.637828e-15 4.683185e-15 3.784671e-15
72 2.657374e-14 3.503442e-14 5.561770e-14 2.620029e-14 5.332756e-15 4.430898e-15 3.581039e-15
73 2.515725e-14 3.323386e-14 5.265695e-14 2.483968e-14 5.048106e-15 4.195471e-15 3.391007e-15
74 2.383425e-14 3.155054e-14 4.989152e-14 2.356801e-14 4.782260e-15 3.975564e-15 3.213497e-15
75 2.259742e-14 2.997534e-14 4.730615e-14 2.237833e-14 4.533742e-15 3.769965e-15 3.047529e-15
76 2.144009e-14 2.849996e-14 4.488690e-14 2.126434e-14 4.301215e-15 3.577568e-15 2.892213e-15
77 2.035621e-14 2.711685e-14 4.262112e-14 2.022030e-14 4.083458e-15 3.397365e-15 2.746736e-15
78 1.934025e-14 2.581909e-14 4.049725e-14 1.924097e-14 3.879357e-15 3.228440e-15 2.610358e-15
79 1.838716e-14 2.460041e-14 3.850472e-14 1.832156e-14 3.687897e-15 3.069954e-15 2.482403e-15
80 1.749230e-14 2.345503e-14 3.663391e-14 1.745771e-14 3.508147e-15 2.921141e-15 2.362253e-15
81 1.665147e-14 2.237767e-14 3.487597e-14 1.664537e-14 3.339259e-15 2.781298e-15 2.249341e-15
82 1.586078e-14 2.136349e-14 3.322281e-14 1.588091e-14 3.180453e-15 2.649784e-15 2.143149e-15
83 1.511669e-14 2.040807e-14 3.166702e-14 1.516094e-14 3.031014e-15 2.526008e-15 2.043202e-15
84 1.441592e-14 1.950732e-14 3.020177e-14 1.448236e-14 2.890286e-15 2.409430e-15 1.949063e-15
85 1.375550e-14 1.865749e-14 2.882080e-14 1.384233e-14 2.757666e-15 2.299550e-15 1.860330e-15
86 1.313265e-14 1.785513e-14 2.751835e-14 1.323824e-14 2.632599e-15 2.195912e-15 1.776634e-15
87 1.254482e-14 1.709705e-14 2.628911e-14 1.266765e-14 2.514573e-15 2.098094e-15 1.697635e-15
88 1.198969e-14 1.638033e-14 2.512819e-14 1.212836e-14 2.403118e-15 2.005706e-15 1.623017e-15
89 1.146509e-14 1.570226e-14 2.403106e-14 1.161830e-14 2.297799e-15 1.918391e-15 1.552493e-15
90 1.096901e-14 1.506033e-14 2.299356e-14 1.113558e-14 2.198214e-15 1.835815e-15 1.485796e-15
91 1.049963e-14 1.445223e-14 2.201182e-14 1.067844e-14 2.103992e-15 1.757674e-15 1.422677e-15
92 1.005522e-14 1.387581e-14 2.108229e-14 1.024525e-14 2.014789e-15 1.683683e-15 1.362907e-15
93 9.634207e-15 1.332909e-14 2.020165e-14 9.834519e-15 1.930288e-15 1.613580e-15 1.306276e-15
94 9.235127e-15 1.281024e-14 1.936686e-14 9.444839e-15 1.850193e-15 1.547121e-15 1.252586e-15
95 8.856615e-15 1.231754e-14 1.857505e-14 9.074921e-15 1.774232e-15 1.484080e-15 1.201656e-15
96 8.497412e-15 1.184941e-14 1.782360e-14 8.723553e-15 1.702150e-15 1.424249e-15 1.153317e-15
97 8.156348e-15 1.140436e-14 1.711006e-14 8.389631e-15 1.633712e-15 1.367432e-15 1.107410e-15
98 7.832330e-15 1.098104e-14 1.643215e-14 8.072109e-15 1.568699e-15 1.313449e-15 1.063791e-15
99 7.524341e-15 1.057816e-14 1.578774e-14 7.770014e-15 1.506905e-15 1.262130e-15 1.022323e-15
100 7.231436e-15 1.019452e-14 1.517486e-14 7.482452e-15 1.448143e-15 1.213319e-15 9.828796e-16
101 6.952739e-15 9.829038e-15 1.459169e-14 7.208583e-15 1.392234e-15 1.166870e-15 9.453429e-16
102 6.687429e-15 9.480657e-15 1.403649e-14 6.947617e-15 1.339013e-15 1.122646e-15 9.096031e-16
103 6.434736e-15 9.148421e-15 1.350767e-14 6.698826e-15 1.288327e-15 1.080520e-15 8.755571e-16
104 6.193949e-15 8.831420e-15 1.300374e-14 6.461526e-15 1.240032e-15 1.040374e-15 8.431091e-16
105 5.964392e-15 8.528812e-15 1.252329e-14 6.235081e-15 1.193993e-15 1.002096e-15 8.121699e-16
106 5.745451e-15 8.239811e-15 1.206502e-14 6.018892e-15 1.150085e-15 9.655825e-16 7.826554e-16
107 5.536532e-15 7.963677e-15 1.162772e-14 5.812395e-15 1.108190e-15 9.307364e-16 7.544872e-16
108 5.337093e-15 7.699717e-15 1.121023e-14 5.615069e-15 1.068199e-15 8.974667e-16 7.275919e-16
109 5.146618e-15 7.447278e-15 1.081149e-14 5.426427e-15 1.030008e-15 8.656885e-16 7.019012e-16
110 4.964631e-15 7.205756e-15 1.043048e-14 5.246002e-15 9.935201e-16 8.353216e-16 6.773499e-16
111 4.790674e-15 6.974580e-15 1.006628e-14 5.073367e-15 9.586454e-16 8.062915e-16 6.538782e-16
112 4.624330e-15 6.753211e-15 9.717984e-15 4.908114e-15 9.252986e-16 7.785272e-16 6.314292e-16
