Ls TT TE TB EE EB EB_gmv TEB_gmv
56 3.465213e-14 3.346638e-14 4.496601e-13 2.676679e-14 4.331854e-14 1.654410e-14 9.204929e-15
57 3.230879e-14 3.127894e-14 4.189742e-13 2.500243e-14 4.036028e-14 1.543855e-14 8.590314e-15
58 3.016135e-14 2.927216e-14 3.908652e-13 2.338423e-14 3.765052e-14 1.442503e-14 8.026834e-15
59 2.819047e-14 2.742829e-14 3.650775e-13 2.189779e-14 3.516455e-14 1.349447e-14 7.509457e-15
60 2.637895e-14 2.573158e-14 3.413849e-13 2.053037e-14 3.288059e-14 1.263880e-14 7.033704e-15
61 2.471155e-14 2.416805e-14 3.195862e-13 1.927062e-14 3.077921e-14 1.185088e-14 6.595598e-15
62 2.317470e-14 2.272522e-14 2.995027e-13 1.810847e-14 2.884323e-14 1.112434e-14 6.191608e-15
63 2.175629e-14 2.139200e-14 2.809747e-13 1.703491e-14 2.705721e-14 1.045350e-14 5.818573e-15
64 2.044550e-14 2.015844e-14 2.638600e-13 1.604189e-14 2.540746e-14 9.833291e-15 5.473680e-15
65 1.923266e-14 1.901566e-14 2.480308e-13 1.512221e-14 2.388165e-14 9.259169e-15 5.154403e-15
66 1.810910e-14 1.795568e-14 2.333730e-13 1.426942e-14 2.246880e-14 8.727061e-15 4.858479e-15
67 1.706702e-14 1.697132e-14 2.197843e-13 1.347771e-14 2.115900e-14 8.233313e-15 4.583878e-15
68 1.609941e-14 1.605613e-14 2.071723e-13 1.274186e-14 1.994338e-14 7.774632e-15 4.328771e-15
69 1.519996e-14 1.520431e-14 1.954538e-13 1.205716e-14 1.881389e-14 7.348053e-15 4.091509e-15
70 1.436297e-14 1.441060e-14 1.845539e-13 1.141937e-14 1.776335e-14 6.950904e-15 3.870606e-15
71 1.358329e-14 1.367026e-14 1.744050e-13 1.082465e-14 1.678518e-14 6.580763e-15 3.664719e-15
72 1.285626e-14 1.297898e-14 1.649457e-13 1.026952e-14 1.587352e-14 6.235443e-15 3.472630e-15
73 1.217767e-14 1.233287e-14 1.561207e-13 9.750824e-15 1.502299e-14 5.912958e-15 3.293238e-15
74 1.154366e-14 1.172839e-14 1.478792e-13 9.265703e-15 1.422874e-14 5.611510e-15 3.125540e-15
75 1.095077e-14 1.116232e-14 1.401759e-13 8.811555e-15 1.348636e-14 5.329459e-15 2.968627e-15
76 1.039582e-14 1.063173e-14 1.329688e-13 8.386012e-15 1.279183e-14 5.065315e-15 2.821672e-15
77 9.875927e-15 1.013396e-14 1.262202e-13 7.986913e-15 1.214150e-14 4.817723e-15 2.683919e-15
78 9.388456e-15 9.666553e-15 1.198955e-13 7.612289e-15 1.153204e-14 4.585442e-15 2.554680e-15
79 8.931004e-15 9.227296e-15 1.139631e-13 7.260341e-15 1.096039e-14 4.367343e-15 2.433328e-15
80 8.501366e-15 8.814146e-15 1.083941e-13 6.929420e-15 1.042378e-14 4.162389e-15 2.319284e-15
81 8.097534e-15 8.425237e-15 1.031621e-13 6.618019e-15 9.919668e-15 3.969632e-15 2.212024e-15
82 7.717660e-15 8.058857e-15 9.824300e-14 6.324754e-15 9.445703e-15 3.788206e-15 2.111066e-15
83 7.360054e-15 7.713433e-15 9.361444e-14 6.048357e-15 8.999754e-15 3.617313e-15 2.015964e-15
84 7.023158e-15 7.387522e-15 8.925615e-14 5.787661e-15 8.579863e-15 3.456220e-15 1.926314e-15
85 6.705546e-15 7.079796e-15 8.514933e-14 5.541595e-15 8.184209e-15 3.304256e-15 1.841740e-15
86 6.405901e-15 6.789030e-15 8.127674e-14 5.309170e-15 7.811145e-15 3.160800e-15 1.761899e-15
87 6.123012e-15 6.514097e-15 7.762260e-14 5.089476e-15 7.459134e-15 3.025281e-15 1.686472e-15
88 5.855761e-15 6.253957e-15 7.417219e-14 4.881673e-15 7.126758e-15 2.897173e-15 1.615167e-15
89 5.603120e-15 6.007648e-15 7.091204e-14 4.684985e-15 6.812731e-15 2.775990e-15 1.547715e-15
90 5.364132e-15 5.774284e-15 6.782966e-14 4.498698e-15 6.515842e-15 2.661283e-15 1.483865e-15
91 5.137921e-15 5.553040e-15 6.491361e-14 4.322147e-15 6.234981e-15 2.552636e-15 1.423385e-15
92 4.923669e-15 5.343156e-15 6.215310e-14 4.154719e-15 5.969121e-15 2.449665e-15 1.366064e-15
93 4.720623e-15 5.143928e-15 5.953837e-14 3.995845e-15 5.717308e-15 2.352014e-15 1.311702e-15
94 4.528082e-15 4.954700e-15 5.706024e-14 3.844998e-15 5.478657e-15 2.259353e-15 1.260116e-15
95 4.345399e-15 4.774865e-15 5.471020e-14 3.701687e-15 5.252360e-15 2.171375e-15 1.211135e-15
96 4.171970e-15 4.603858e-15 5.248039e-14 3.565458e-15 5.037652e-15 2.087796e-15 1.164602e-15
97 4.007234e-15 4.441154e-15 5.036349e-14 3.435887e-15 4.833827e-15 2.008351e-15 1.120369e-15
98 3.850672e-15 4.286266e-15 4.835267e-14 3.312582e-15 4.640230e-15 1.932794e-15 1.078300e-15
99 3.701799e-15 4.138738e-15 4.644167e-14 3.195176e-15 4.456250e-15 1.860896e-15 1.038266e-15
100 3.560162e-15 3.998145e-15 4.462452e-14 3.083328e-15 4.281320e-15 1.792443e-15 1.000150e-15
101 3.425343e-15 3.864094e-15 4.289578e-14 2.976718e-15 4.114910e-15 1.727238e-15 9.638398e-16
102 3.296948e-15 3.736212e-15 4.125033e-14 2.875050e-15 3.956527e-15 1.665093e-15 9.292340e-16
103 3.174611e-15 3.614159e-15 3.968335e-14 2.778046e-15 3.805706e-15 1.605837e-15 8.962350e-16
104 3.057989e-15 3.497609e-15 3.819043e-14 2.685447e-15 3.662026e-15 1.549306e-15 8.647531e-16
105 2.946765e-15 3.386260e-15 3.676740e-14 2.597011e-15 3.525079e-15 1.495350e-15 8.347044e-16
106 2.840637e-15 3.279835e-15 3.541033e-14 2.512510e-15 3.394492e-15 1.443828e-15 8.060098e-16
107 2.739328e-15 3.178063e-15 3.411561e-14 2.431732e-15 3.269912e-15 1.394606e-15 7.785959e-16
108 2.642575e-15 3.080704e-15 3.287980e-14 2.354477e-15 3.151008e-15 1.347561e-15 7.523933e-16
109 2.550132e-15 2.987517e-15 3.169973e-14 2.280560e-15 3.037478e-15 1.302576e-15 7.273376e-16
110 2.461769e-15 2.898291e-15 3.057239e-14 2.209805e-15 2.929029e-15 1.259543e-15 7.033681e-16
111 2.377272e-15 2.812821e-15 2.949500e-14 2.142047e-15 2.825392e-15 1.218359e-15 6.804277e-16
112 2.296436e-15 2.730910e-15 2.846488e-14 2.077133e-15 2.726309e-15 1.178927e-15 6.584633e-16
113 2.219072e-15 2.652383e-15 2.747957e-14 2.014916e-15 2.631547e-15 1.141158e-15 6.374244e-16
114 2.145001e-15 2.577065e-15 2.653675e-14 1.955262e-15 2.540879e-15 1.104966e-15 6.172636e-16
115 2.074055e-15 2.504801e-15 2.563424e-14 1.898041e-15 2.454095e-15 1.070273e-15 5.979370e-16
116 2.006076e-15 2.435438e-15 2.476999e-14 1.843132e-15 2.370995e-15 1.037002e-15 5.794022e-16
117 1.940915e-15 2.368834e-15 2.394206e-14 1.790422e-15 2.291395e-15 1.005083e-15 5.616204e-16
118 1.878432e-15 2.304854e-15 2.314863e-14 1.739803e-15 2.215119e-15 9.744492e-16 5.445542e-16
119 1.818494e-15 2.243377e-15 2.238797e-14 1.691174e-15 2.142002e-15 9.450383e-16 5.281688e-16
120 1.760977e-15 2.184279e-15 2.165851e-14 1.644440e-15 2.071887e-15 9.167907e-16 5.124311e-16
121 1.705764e-15 2.127449e-15 2.095867e-14 1.599511e-15 2.004627e-15 8.896505e-16 4.973103e-16
122 1.652744e-15 2.072783e-15 2.028703e-14 1.556302e-15 1.940084e-15 8.635651e-16 4.827767e-16
123 1.601813e-15 2.020179e-15 1.964226e-14 1.514732e-15 1.878128e-15 8.384846e-16 4.688027e-16
124 1.552870e-15 1.969543e-15 1.902305e-14 1.474725e-15 1.818634e-15 8.143619e-16 4.553622e-16
125 1.505824e-15 1.920785e-15 1.842822e-14 1.436210e-15 1.761488e-15 7.911524e-16 4.424304e-16
126 1.460586e-15 1.873819e-15 1.785658e-14 1.399119e-15 1.706576e-15 7.688144e-16 4.299839e-16
127 1.417072e-15 1.828567e-15 1.730708e-14 1.363387e-15 1.653797e-15 7.473076e-16 4.180005e-16
128 1.375202e-15 1.784952e-15 1.677871e-14 1.328953e-15 1.603049e-15 7.265946e-16 4.064591e-16
129 1.334904e-15 1.742901e-15 1.627046e-14 1.295760e-15 1.554242e-15 7.066398e-16 3.953401e-16
130 1.296104e-15 1.702348e-15 1.578145e-14 1.263753e-15 1.507286e-15 6.874091e-16 3.846243e-16
131 1.258738e-15 1.663226e-15 1.531081e-14 1.232880e-15 1.462098e-15 6.688705e-16 3.742943e-16
132 1.222739e-15 1.625475e-15 1.485769e-14 1.203092e-15 1.418597e-15 6.509936e-16 3.643327e-16
133 1.188049e-15 1.589034e-15 1.442133e-14 1.174342e-15 1.376710e-15 6.337498e-16 3.547239e-16
