Ls T E B
124 1.736375e-17 7.072701e-18 6.850754e-18
125 1.816621e-17 7.015972e-18 6.793743e-18
126 1.900557e-17 6.960038e-18 6.737553e-18
127 1.988382e-17 6.904911e-18 6.682143e-18
128 2.080273e-17 6.850552e-18 6.627515e-18
129 2.176392e-17 6.796960e-18 6.573653e-18
130 2.276966e-17 6.744108e-18 6.520519e-18
131 2.382184e-17 6.691984e-18 6.468139e-18
132 2.492263e-17 6.640573e-18 6.416458e-18
133 2.607430e-17 6.589875e-18 6.365491e-18
134 2.727914e-17 6.539850e-18 6.315198e-18
135 2.853972e-17 6.490512e-18 6.265590e-18
136 2.985858e-17 6.441821e-18 6.216656e-18
137 3.123830e-17 6.393788e-18 6.168355e-18
138 3.268182e-17 6.346389e-18 6.120713e-18
139 3.419198e-17 6.299595e-18 6.073677e-18
140 3.577201e-17 6.253434e-18 6.027274e-18
141 3.742500e-17 6.207866e-18 5.981476e-18
142 3.915445e-17 6.162876e-18 5.936258e-18
143 4.096374e-17 6.118478e-18 5.891645e-18
144 4.285662e-17 6.074633e-18 5.847597e-18
145 4.483701e-17 6.031353e-18 5.804102e-18
146 4.690894e-17 5.988624e-18 5.761172e-18
147 4.907658e-17 5.946421e-18 5.718793e-18
148 5.134437e-17 5.904743e-18 5.676940e-18
149 5.371691e-17 5.863590e-18 5.635625e-18
150 5.619915e-17 5.822948e-18 5.594822e-18
151 5.879610e-17 5.782805e-18 5.554531e-18
152 6.151299e-17 5.743159e-18 5.514737e-18
153 6.435547e-17 5.703985e-18 5.475442e-18
154 6.732935e-17 5.665296e-18 5.436631e-18
155 7.044054e-17 5.627064e-18 5.398291e-18
156 7.369564e-17 5.589289e-18 5.360423e-18
157 7.710110e-17 5.551973e-18 5.323026e-18
158 8.066381e-17 5.515101e-18 5.286073e-18
159 8.058586e-17 5.478659e-18 5.249577e-18
160 7.687764e-17 5.442649e-18 5.213513e-18
161 7.333997e-17 5.407069e-18 5.177893e-18
162 6.996506e-17 5.371906e-18 5.142690e-18
